archetype_1,archetype_2,mu_win,mu_n,mu_wr,ci,ok_ci,direction,mirror,playrate_1,playrate_2
Pyke/Rek'Sai (BW/SH),Seraphine/Twisted Fate (BW/PZ),3,5,0.6,(14.7% - 94.7%),FALSE,POS,No,0.017038543408849,0.00283183822411434
Bard/Norra (BC/RU),Miss Fortune/Twisted Fate (BW/NX),3,5,0.6,(14.7% - 94.7%),FALSE,POS,No,0.00172951193553292,0.0326421620799757
Katarina/Leona (MT/NX),Lissandra/Trundle (FR/IO),3,5,0.6,(14.7% - 94.7%),FALSE,POS,No,0.00580621864071765,0.00207161319750646
Azir/Irelia (IO/SH),Taliyah/Ziggs (BC/SH),3,5,0.6,(14.7% - 94.7%),FALSE,POS,No,0.00513151892960316,0.0173521362323248
Rumble/Vayne (DE/NX),Norra/Viego (BC/SI),3,5,0.6,(14.7% - 94.7%),FALSE,POS,No,0.00402919264102174,0.0123251482438802
Kayle/Zoe (MT/PZ),Kalista/Nocturne (SI),3,5,0.6,(14.7% - 94.7%),FALSE,POS,No,0.00556864831990269,0.0142637220617303
Kayle/Zoe (MT/PZ),Maokai/Nautilus (BW/SI),3,5,0.6,(14.7% - 94.7%),FALSE,POS,No,0.00556864831990269,0.00923673407328569
Ekko/Jinx (PZ/SH),Maokai/Nautilus (BW/SI),3,5,0.6,(14.7% - 94.7%),FALSE,POS,No,0.00423825452333891,0.00923673407328569
Aphelios/Master Yi (IO/MT),Miss Fortune/Twisted Fate (BW/NX),3,5,0.6,(14.7% - 94.7%),FALSE,POS,No,0.00142542192488977,0.0326421620799757
Katarina/Twisted Fate (BW/NX),Annie/Katarina (NX/PZ),3,5,0.6,(14.7% - 94.7%),FALSE,POS,No,0.00142542192488977,0.0143777558157215
Annie/Katarina (NX/PZ),Lissandra/Trundle (FR/IO),3,5,0.6,(14.7% - 94.7%),FALSE,POS,No,0.0143777558157215,0.00207161319750646
Aatrox/Kayn (RU/RU),Evelynn/Lucian (DE/RU),3,5,0.6,(14.7% - 94.7%),FALSE,POS,No,0.0042857685875019,0.00731716588110081
Lissandra/Trundle (FR/IO),Kalista/Nocturne (NX/SI),3,5,0.6,(14.7% - 94.7%),FALSE,POS,No,0.00207161319750646,0.0391040748061426
