archetype_1,archetype_2,mu_win,mu_n,mu_wr
Maokai (BW/SI),Aurelion Sol/Elder Dragon (RU/MT),2,5,0.4
Janna/Nilah (BW/PZ),Jinx (BC/PZ),2,5,0.4
Pyke/Rek'Sai (BW/SH),Janna/Nilah (BW/PZ),2,5,0.4
Neeko (FR/RU),Mordekaiser/Morgana (DE/SI),2,5,0.4
Elder Dragon/Gnar/Norra (RU/BC),Elder Dragon/Lissandra/Volibear (RU/FR),2,5,0.4
Mordekaiser/Morgana (DE/SI),Kalista/Mordekaiser (BC/SI),2,5,0.4
Ashe/Morgana (FR/MT),Akshan/Morgana (DE/SH),2,5,0.4
Kayle/Yuumi (FR/MT),Elder Dragon/Garen (RU/DE),2,5,0.4
Kalista/Mordekaiser (NX/SI),Morgana/Varus (MT/RU),2,5,0.4
Gnar/Neeko (FR/RU),Akshan/Mordekaiser (SI/SH),2,5,0.4
Mordekaiser/Viego (NX/SI),Jax/Ornn (FR/RU),2,5,0.4
Elder Dragon/Shyvana (RU/DE),Morgana/Riven (DE/NX),2,5,0.4
Ashe (FR/SI),Elder Dragon/Norra (RU/BC),2,5,0.4
Elder Dragon/Gnar/Norra (RU/BC),Elder Dragon/Yuumi (RU/MT),2,5,0.4
Elder Dragon/Norra (RU/BC),Elder Dragon/Jack (RU/BW),2,5,0.4
Mordekaiser/Norra (BC/SI),Aurelion Sol/Elder Dragon/Morgana (RU/MT),2,5,0.4
Jack/Sett (BW/IO),Caitlyn/Teemo (FR/PZ),2,5,0.4
Mordekaiser/Morgana (DE/SI),Gwen/Morgana (DE/SI),2,5,0.4
Zed (FR/IO),Elder Dragon/Norra (RU/BC),2,5,0.4
Elder Dragon/Morgana/Yuumi (RU/MT),Elder Dragon/Volibear (RU/FR),2,5,0.4
Elder Dragon/Volibear (RU/FR),Maokai (PZ/SI),2,5,0.4
Lissandra/Volibear (FR/SI),Janna/Nilah (BW/PZ),2,5,0.4
Championpile/Elder Dragon (RU/DE),Morgana/Riven (MT/NX),2,5,0.4
Elder Dragon/Norra (RU/BC),Morgana/Riven (DE/NX),2,5,0.4
Gwen/Riven (NX/SI),Karma/Sett (FR/IO),2,5,0.4
Elder Dragon/Shyvana (RU/DE),Ashe (FR/SI),2,5,0.4
Akshan/Maokai (SI/SH),Elder Dragon/Morgana (RU/MT),2,5,0.4
Elder Dragon/Gnar/Norra (RU/BC),Tryndamere/Volibear (FR/SI),2,5,0.4
Elder Dragon/Norra/Teemo (RU/BC),Jax/Ornn (FR/RU),2,5,0.4
(PZ/SI),Elder Dragon/Gnar/Norra (RU/BC),2,5,0.4
Morgana/Pantheon (DE/MT),Mordekaiser/Norra (BC/SI),2,5,0.4
Elder Dragon/Galio/Garen (RU/DE),Elder Dragon/Shyvana (RU/DE),2,5,0.4
Jack/Sett (BW/IO),Elder Dragon/Morgana (RU/MT),2,5,0.4
Annie/Jhin (RU/NX),Maokai/Mordekaiser (PZ/SI),2,5,0.4
Elder Dragon/Gwen/Mordekaiser (RU/SI),Jarvan IV/Shen (DE/IO),2,5,0.4
Miss Fortune/Quinn (BW/DE),Jinx (BC/PZ),2,5,0.4
Galio/Morgana (DE/MT),Aurelion Sol/Elder Dragon (RU/MT),2,5,0.4
Elder Dragon/Janna/Teemo (RU/PZ),Evelynn/Mordekaiser (RU/SI),2,5,0.4
Ryze (MT/RU),Elder Dragon/Gnar/Norra (RU/BC),2,5,0.4
Elder Dragon/Janna/Seraphine (RU/PZ),Morgana/Pantheon (DE/MT),2,5,0.4
Elder Dragon/Norra (RU/BC),Elder Dragon/Yuumi (RU/MT),2,5,0.4
Championpile/Elder Dragon (RU/FR),Janna/Teemo (BC/PZ),2,5,0.4
Mordekaiser/Sion (NX/SI),Volibear (FR/SI),2,5,0.4
Azir/Renekton (SH),Elder Dragon/Morgana (RU/MT),2,5,0.4
Jayce/Norra (BC/PZ),Elder Dragon/Gnar/Norra (RU/BC),2,5,0.4
Gnar/Neeko (FR/RU),Teemo/Tristana (BC/NX),2,5,0.4
Elder Dragon/Volibear (RU/FR),Galio/Morgana (DE/MT),2,5,0.4
Elder Dragon/Norra (RU/BC),Janna/Seraphine (BW/PZ),2,5,0.4
Aurelion Sol/Elder Dragon (RU/MT),Gwen/Riven (NX/SI),2,5,0.4
Karma/Sett (IO/PZ),Maokai (PZ/SI),2,5,0.4
Maokai (PZ/SI),Kalista/Mordekaiser (NX/SI),2,5,0.4
Elder Dragon/Morgana/Yuumi (RU/MT),Ashe/LeBlanc (FR/NX),2,5,0.4
Mordekaiser/Morgana (DE/SI),Viego (MT/SI),2,5,0.4
Tryndamere/Volibear (FR/SI),Elder Dragon/Garen (RU/DE),2,5,0.4
Maokai/Nautilus (BW/SI),Gnar/Neeko (FR/RU),2,5,0.4
Gnar/Teemo (BC/FR),Mordekaiser/Morgana (DE/SI),2,5,0.4
Elder Dragon/Mordekaiser (RU/SI),Janna/Nilah (BW/PZ),2,5,0.4
Fizz/Yuumi (BC/FR),Jarvan IV/Shen (DE/IO),2,5,0.4
Fizz/Yuumi (BC/FR),Volibear (FR/SI),2,5,0.4
Elder Dragon/Gwen/Mordekaiser (RU/SI),Mordekaiser/Morgana (DE/SI),2,5,0.4
Jarvan IV/Shen (DE/IO),Elder Dragon/Shyvana (RU/DE),2,5,0.4
Lissandra/Volibear (FR/SI),Elder Dragon/Volibear (RU/FR),2,5,0.4
Ahri/Yuumi (IO/MT),Elder Dragon/Volibear (RU/FR),2,5,0.4
Elder Dragon/Volibear (RU/FR),Nilah (BW/NX),2,5,0.4
Elder Dragon/Janna (RU/PZ),Teemo/Yuumi (BC/PZ),2,5,0.4
Gwen/Riven (NX/SI),Kalista/Mordekaiser (NX/SI),2,5,0.4
Elder Dragon/Seraphine (RU/PZ),Mordekaiser/Morgana (DE/SI),2,5,0.4
Azir/Renekton (SH),Darius/Gnar (FR/NX),2,5,0.4
Fizz/Samira (BW/NX),Elder Dragon/Shyvana (RU/DE),2,5,0.4
Akshan/Maokai (SI/SH),Karma/Sett (FR/IO),2,5,0.4
Morgana/Seraphine (MT/PZ),Teemo/Yuumi (BC/PZ),2,5,0.4
Azir/Lucian (DE/SH),Elder Dragon/Norra (RU/BC),2,5,0.4
Gnar/Neeko (FR/RU),Mordekaiser (NX/SI),2,5,0.4
Gnar/Neeko (FR/RU),Maokai/Mordekaiser (PZ/SI),2,5,0.4
Tryndamere/Volibear (FR/SI),Jax/Ornn (FR/RU),2,5,0.4
Elder Dragon/Viego (RU/SI),Mordekaiser/Morgana (DE/SI),2,5,0.4
Elder Dragon/Lissandra/Volibear (RU/FR),Gwen/Riven (NX/SI),2,5,0.4
Fizz/Samira (BW/NX),Morgana/Riven (MT/NX),2,5,0.4
Fizz/Samira (BW/NX),Elder Dragon/Norra (RU/BC),2,5,0.4
Aatrox/Vayne (RU/DE),Morgana/Seraphine (MT/PZ),2,5,0.4
Elder Dragon/Norra (RU/BC),Evelynn/Mordekaiser (RU/SI),2,5,0.4
Akshan/Morgana (DE/SH),Teemo/Tristana (BC/NX),2,5,0.4
Mordekaiser/Sion (NX/SI),Kayle/Neeko (MT/RU),2,5,0.4
Riven/Sion (BC/NX),Mordekaiser/Morgana (DE/SI),2,5,0.4
Annie/Jhin (RU/NX),Fizz/Teemo (BC/PZ),2,5,0.4
Mordekaiser/Morgana (DE/SI),Elder Dragon/Jax (RU/RU),2,5,0.4
Fizz/Yuumi (BC/FR),Akshan/Varus (SH/RU),2,5,0.4
Elder Dragon/Garen/Vayne (RU/DE),Mordekaiser/Morgana (DE/SI),2,5,0.4
Diana/Leona (MT/SH),Mordekaiser/Morgana (DE/SI),2,5,0.4
Morgana/Riven (MT/NX),Diana/Morgana (MT/NX),3,5,0.6
Morgana/Riven (MT/NX),Elder Dragon (RU/MT),3,5,0.6
Gwen/Zed (IO/SI),Galio/Morgana (DE/MT),3,5,0.6
Morgana/Seraphine (MT/PZ),(BC/IO),3,5,0.6
Ashe/LeBlanc (FR/NX),Galio/Morgana (DE/MT),3,5,0.6
(BC/IO),Elder Dragon/Shyvana (RU/DE),3,5,0.6
Mordekaiser/Sion (NX/SI),Mordekaiser/Viego (NX/SI),3,5,0.6
Caitlyn/Teemo (FR/PZ),Elder Dragon (RU/FR),3,5,0.6
Elder Dragon/Gnar/Norra (RU/BC),Galio/Morgana (DE/MT),3,5,0.6
Elder Dragon/Galio/Garen (RU/DE),Ashe/LeBlanc (FR/NX),3,5,0.6
Elder Dragon/Galio/Garen (RU/DE),Kalista/Mordekaiser (NX/SI),3,5,0.6
Caitlyn/Teemo (BC/PZ),Elder Dragon/Volibear (RU/FR),3,5,0.6
Elder Dragon/Gnar/Norra (RU/BC),Galio/Morgana (DE/FR),3,5,0.6
Senna/Veigar (BC/SI),Mordekaiser/Senna (SI/SH),3,5,0.6
Teemo/Yuumi (BC/FR),Karma/Sett (IO/PZ),3,5,0.6
Teemo/Yuumi (BC/FR),Elder Dragon/Gnar/Norra (RU/BC),3,5,0.6
Championpile/Elder Dragon (RU/FR),Mordekaiser/Senna (SI/SH),3,5,0.6
Ekko/Jinx (PZ/SH),Gwen/Zed (IO/SI),3,5,0.6
Gwen/Zed (IO/SI),Mordekaiser/Viego (SI/SH),3,5,0.6
Elder Dragon/Gnar/Tristana (RU/BC),Elder Dragon/Garen (RU/DE),3,5,0.6
Mordekaiser/Viego (SI/SH),Elder Dragon/Garen (RU/DE),3,5,0.6
Kalista/Mordekaiser (NX/SI),Mordekaiser/Nasus (SI/SH),3,5,0.6
Elder Dragon/Volibear (RU/FR),Yuumi (MT/PZ),3,5,0.6
Karma/Sett (IO/PZ),Maokai/Mordekaiser (BW/SI),3,5,0.6
Seraphine/Sett (IO/PZ),Jarvan IV/Shen (DE/IO),3,5,0.6
Elder Dragon/Garen (RU/DE),Neeko (FR/RU),3,5,0.6
Gwen/Riven (NX/SI),Neeko/Teemo (BC/RU),3,5,0.6
