archetype_1,archetype_2,mu_win,mu_n,mu_wr
Elder Dragon/Volibear (RU/FR),Ekko/Jinx (PZ/SH),1,2,0.5
Maokai (BW/SI),Morgana/Riven (MT/NX),1,2,0.5
Morgana/Riven (MT/NX),Maokai (BW/SI),1,2,0.5
Fizz/Yuumi (BC/FR),Gnar/Vayne (DE/FR),1,2,0.5
Gnar/Vayne (DE/FR),Fizz/Yuumi (BC/FR),1,2,0.5
Morgana/Riven (MT/NX),Galio/Morgana (DE/MT),1,2,0.5
Galio/Morgana (DE/MT),Morgana/Riven (MT/NX),1,2,0.5
Maokai/Mordekaiser (BW/SI),Kayle/Teemo (BC/MT),1,2,0.5
Kayle/Teemo (BC/MT),Maokai/Mordekaiser (BW/SI),1,2,0.5
Mordekaiser/Tristana (BC/NX),Annie/Jhin (RU/NX),1,2,0.5
Annie/Jhin (RU/NX),Mordekaiser/Tristana (BC/NX),1,2,0.5
Elder Dragon/Volibear (RU/FR),Morgana/Pantheon (DE/MT),1,2,0.5
Morgana/Pantheon (DE/MT),Elder Dragon/Volibear (RU/FR),1,2,0.5
Jinx/Kennen (BC/PZ),Aurelion Sol (FR/MT),1,2,0.5
Aurelion Sol (FR/MT),Jinx/Kennen (BC/PZ),1,2,0.5
Morgana/Riven (MT/NX),Akshan/Morgana (MT/SH),1,2,0.5
Akshan/Morgana (MT/SH),Morgana/Riven (MT/NX),1,2,0.5
Gnar/Neeko (FR/RU),Gwen/Lucian (DE/SI),1,2,0.5
Gwen/Lucian (DE/SI),Gnar/Neeko (FR/RU),1,2,0.5
Maokai/Mordekaiser (BW/SI),Volibear (RU/FR),1,2,0.5
Volibear (RU/FR),Maokai/Mordekaiser (BW/SI),1,2,0.5
Darius/Gnar (FR/NX),Kayle/Teemo (BC/MT),1,2,0.5
Kayle/Teemo (BC/MT),Darius/Gnar (FR/NX),1,2,0.5
Annie/Jhin (RU/NX),Gnar/Neeko (FR/RU),1,2,0.5
Gnar/Neeko (FR/RU),Annie/Jhin (RU/NX),1,2,0.5
Galio/Morgana (DE/MT),Elder Dragon/Morgana (RU/MT),1,2,0.5
Elder Dragon/Morgana (RU/MT),Galio/Morgana (DE/MT),1,2,0.5
Gwen/Zed (IO/SI),Jax/Ornn (FR/RU),1,2,0.5
Jax/Ornn (FR/RU),Gwen/Zed (IO/SI),1,2,0.5
Ashe/LeBlanc (FR/NX),Galio/Morgana (DE/MT),1,2,0.5
Galio/Morgana (DE/MT),Ashe/LeBlanc (FR/NX),1,2,0.5
Gwen/Morgana (DE/SI),Garen (RU/DE),1,2,0.5
Garen (RU/DE),Gwen/Morgana (DE/SI),1,2,0.5
Gwen/Morgana (DE/SI),Annie/Jhin (RU/NX),1,2,0.5
Annie/Jhin (RU/NX),Gwen/Morgana (DE/SI),1,2,0.5
Jinx/Teemo (NX/PZ),Jinx/Teemo (NX/PZ),1,2,0.5
Gnar/Neeko (FR/RU),Gnar/Neeko (FR/RU),1,2,0.5
Gwen/Zed (IO/SI),The Poro King/Yuumi (MT/RU),1,2,0.5
The Poro King/Yuumi (MT/RU),Gwen/Zed (IO/SI),1,2,0.5
Evelynn/Mordekaiser (RU/SI),Elder Dragon/Volibear (RU/FR),1,2,0.5
Elder Dragon/Volibear (RU/FR),Evelynn/Mordekaiser (RU/SI),1,2,0.5
Galio/Morgana (DE/MT),Garen (RU/DE),1,2,0.5
Garen (RU/DE),Galio/Morgana (DE/MT),1,2,0.5
Seraphine/Sett (IO/PZ),Gwen/Zed (IO/SI),1,2,0.5
Gwen/Zed (IO/SI),Seraphine/Sett (IO/PZ),1,2,0.5
Jinx/Teemo (NX/PZ),Heimerdinger/Norra (BC/SI),1,2,0.5
Heimerdinger/Norra (BC/SI),Jinx/Teemo (NX/PZ),1,2,0.5
Gwen/Zed (IO/SI),Neeko (DE/RU),1,2,0.5
Neeko (DE/RU),Gwen/Zed (IO/SI),1,2,0.5
Gwen/Riven (NX/SI),Fizz/Yuumi (BC/FR),1,2,0.5
Fizz/Yuumi (BC/FR),Gwen/Riven (NX/SI),1,2,0.5
Morgana/Riven (MT/NX),Fizz/Yuumi (BC/FR),1,2,0.5
Fizz/Yuumi (BC/FR),Morgana/Riven (MT/NX),1,2,0.5
Seraphine/Sett (IO/PZ),Morgana/Riven (MT/NX),1,2,0.5
Morgana/Riven (MT/NX),Seraphine/Sett (IO/PZ),1,2,0.5
Annie/Jhin (RU/NX),Mordekaiser/Sion (NX/SI),1,2,0.5
Mordekaiser/Sion (NX/SI),Annie/Jhin (RU/NX),1,2,0.5
Darius/Gnar (FR/NX),Darius/Gnar (FR/NX),1,2,0.5
Darius/Gnar (FR/NX),Jinx/Teemo (NX/PZ),1,2,0.5
Jinx/Teemo (NX/PZ),Darius/Gnar (FR/NX),1,2,0.5
Janna/Seraphine (RU/PZ),Morgana/Riven (MT/NX),1,2,0.5
Morgana/Riven (MT/NX),Janna/Seraphine (RU/PZ),1,2,0.5
Jinx (NX/PZ),Championless (BC/IO),1,2,0.5
Championless (BC/IO),Jinx (NX/PZ),1,2,0.5
Janna/Seraphine (RU/PZ),Aurelion Sol/Elder Dragon/Morgana (RU/MT),1,2,0.5
Aurelion Sol/Elder Dragon/Morgana (RU/MT),Janna/Seraphine (RU/PZ),1,2,0.5
Janna/Seraphine (RU/PZ),Garen (RU/DE),1,2,0.5
Garen (RU/DE),Janna/Seraphine (RU/PZ),1,2,0.5
Morgana/Seraphine (MT/PZ),The Poro King/Yuumi (MT/RU),1,2,0.5
The Poro King/Yuumi (MT/RU),Morgana/Seraphine (MT/PZ),1,2,0.5
Elder Dragon/Volibear (RU/FR),Aatrox/Morgana (RU/DE),1,2,0.5
Aatrox/Morgana (RU/DE),Elder Dragon/Volibear (RU/FR),1,2,0.5
Championless (BC/PZ),Jinx/Teemo (NX/PZ),1,2,0.5
Jinx/Teemo (NX/PZ),Championless (BC/PZ),1,2,0.5
Gnar/Sejuani (BW/FR),Morgana/Riven (MT/NX),1,2,0.5
Morgana/Riven (MT/NX),Gnar/Sejuani (BW/FR),1,2,0.5
Diana/Morgana (MT/NX),Jinx (NX/PZ),1,2,0.5
Jinx (NX/PZ),Diana/Morgana (MT/NX),1,2,0.5
Gwen/Zed (IO/SI),Gnar/Sejuani (BW/FR),1,2,0.5
Gnar/Sejuani (BW/FR),Gwen/Zed (IO/SI),1,2,0.5
Elder Dragon (RU/FR),Annie/Jhin (RU/NX),0,1,0
Diana/Morgana (MT/NX),Ahri/Morgana (IO/MT),0,1,0
Miss Fortune/Vayne (BW/DE),Diana/Morgana (MT/NX),0,1,0
Darius/Gnar (FR/NX),Diana/Morgana (MT/NX),0,1,0
Malphite/Morgana (MT/SI),Elder Dragon/Volibear (RU/FR),0,1,0
Ahri/Kennen (IO/MT),Morgana/Riven (MT/NX),0,1,0
Ekko/Jinx (PZ/SH),Kalista/Mordekaiser/Senna (NX/SI),0,1,0
Annie/Jhin (RU/NX),Kalista/Mordekaiser/Senna (NX/SI),0,1,0
Kalista/Mordekaiser/Senna (NX/SI),Championpile (RU/FR),0,1,0
Lucian/Shyvana (DE/SI),Malphite/Morgana (MT/SI),0,1,0
Championpile (RU/FR),Diana/Morgana (MT/NX),0,1,0
Kalista/Mordekaiser/Senna (NX/SI),Diana/Morgana (MT/NX),0,1,0
Gwen/Zed (IO/SI),Championpile (RU/FR),0,1,0
Championpile (RU/FR),Morgana/Riven (MT/NX),0,1,0
Jinx (BC/PZ),Jayce/Morgana (MT/PZ),0,1,0
Ahri/Riven (IO/NX),Gwen/Zed (IO/SI),0,1,0
Championless (MT/NX),Mordekaiser/Sion (NX/SI),0,1,0
Diana/Morgana (MT/NX),Championless (MT/NX),0,1,0
Championpile (RU/FR),Elder Dragon/Volibear (RU/FR),0,1,0
Elder Dragon/Morgana (RU/MT),Championpile (RU/FR),0,1,0
Diana/Morgana (MT/NX),Miss Fortune/Quinn (BW/DE),0,1,0
Jinx/Kennen (BC/PZ),Caitlyn/Teemo (BC/PZ),0,1,0
Jinx/Kennen (BC/PZ),Ekko/Jinx (PZ/SH),0,1,0
Garen/Shyvana (RU/DE),Volibear (RU/FR),0,1,0
Garen/Neeko (DE/RU),LeBlanc/Mordekaiser (NX/SI),0,1,0
Annie/Jhin (RU/NX),Akshan/Pantheon (MT/SH),0,1,0
Galio/Garen/Jarvan IV (DE/FR),Annie/Jhin (RU/NX),0,1,0
Elder Dragon/Morgana (RU/MT),Annie/Jhin (RU/NX),0,1,0
Mordekaiser/Viego (NX/SI),Annie/Jhin (RU/NX),0,1,0
Master Yi/Zed (DE/IO),Gwen/Zed (IO/SI),0,1,0
Master Yi/Morgana (IO/MT),Janna/Nilah (BW/PZ),0,1,0
Garen/Neeko (DE/RU),Pyke/Rek'Sai (BW/SH),0,1,0
Ekko/Jinx (PZ/SH),Garen/Shyvana (RU/DE),0,1,0
Garen/Neeko (DE/RU),Mordekaiser/Nasus (SI/SH),0,1,0
Evelynn/Mordekaiser (RU/SI),Galio/Shyvana (RU/DE),0,1,0
Jayce/Morgana (MT/PZ),Diana/Nocturne (MT/SI),0,1,0
The Poro King (RU/SI),Morgana/Riven (MT/NX),0,1,0
Neeko/Renekton (RU/SH),Morgana/Riven (MT/NX),0,1,0
Mordekaiser/Viego (NX/SI),Elder Dragon/Shyvana (RU/DE),0,1,0
Diana (MT/NX),Mordekaiser/Viego (NX/SI),0,1,0
Kalista/Mordekaiser/Senna (NX/SI),Morgana/Pantheon (DE/MT),0,1,0
Elder Dragon/Volibear (RU/FR),Kalista/Mordekaiser (RU/SI),0,1,0
Elder Dragon/Volibear (RU/FR),Diana/Nocturne (MT/SI),0,1,0
Ekko/Jinx (PZ/SH),Miss Fortune/Quinn (BW/DE),0,1,0
Darius (FR/NX),Miss Fortune/Quinn (BW/DE),0,1,0
Miss Fortune/Quinn (BW/DE),Volibear (RU/FR),0,1,0
Norra/Teemo (RU/BC),Garen (RU/DE),0,1,0
Teemo/Tristana (BC/NX),Garen (RU/DE),0,1,0
Azir/Miss Fortune (BW/SH),Morgana/Riven (MT/NX),0,1,0
Garen/Jarvan IV (RU/DE),Garen/Shyvana (RU/DE),0,1,0
Gwen/Riven (NX/SI),Garen/Shyvana (RU/DE),0,1,0
Teemo (BC/PZ),Nidalee (BC/SH),0,1,0
Morgana/Vayne (DE/MT),Garen/Shyvana (RU/DE),0,1,0
Jinx (BC/PZ),Nidalee (BC/SH),0,1,0
Mordekaiser/Sion (NX/SI),Nidalee (BC/SH),0,1,0
Galio/Jarvan IV (DE/FR),Nidalee (BC/SH),0,1,0
Elder Dragon/Volibear (RU/FR),Teemo (BC/PZ),0,1,0
Pyke/Rek'Sai (BW/SH),Garen/Shyvana (RU/DE),0,1,0
Galio/Morgana (DE/MT),Garen/Shyvana (RU/DE),0,1,0
Lissandra (RU/FR),Garen/Shyvana (RU/DE),0,1,0
