archetype_1,archetype_2,mu_win,mu_n,mu_wr
Elder Dragon/Galio/Morgana (RU/DE),Seraphine/Sett (IO/PZ),1,2,0.5
Aurelion Sol/Shyvana (DE/MT),Elise/Nocturne (MT/SI),1,2,0.5
Elise/Nocturne (MT/SI),Aurelion Sol/Shyvana (DE/MT),1,2,0.5
Elder Dragon (RU/FR),Elise/Nocturne (MT/SI),1,2,0.5
Elise/Nocturne (MT/SI),Elder Dragon (RU/FR),1,2,0.5
Braum/Yuumi/Zoe (FR/MT),Taliyah/Zilean (IO/SH),1,2,0.5
Taliyah/Zilean (IO/SH),Braum/Yuumi/Zoe (FR/MT),1,2,0.5
Pyke/Rek'Sai (BW/SH),Elder Dragon/Lissandra (RU/FR),1,2,0.5
Elder Dragon/Lissandra (RU/FR),Pyke/Rek'Sai (BW/SH),1,2,0.5
Gwen/Zed (IO/SI),Taliyah/Zilean (IO/SH),1,2,0.5
Taliyah/Zilean (IO/SH),Gwen/Zed (IO/SI),1,2,0.5
Azir/Irelia (IO/SH),Jinx (BC/PZ),1,2,0.5
Jinx (BC/PZ),Azir/Irelia (IO/SH),1,2,0.5
Draven/Sion (NX/PZ),Miss Fortune/Twisted Fate (BW/NX),1,2,0.5
Miss Fortune/Twisted Fate (BW/NX),Draven/Sion (NX/PZ),1,2,0.5
Neeko/Teemo (BC/RU),Jinx/Lulu (BC/PZ),1,2,0.5
Jinx/Lulu (BC/PZ),Neeko/Teemo (BC/RU),1,2,0.5
Janna/Nilah (BW/PZ),Miss Fortune/Twisted Fate (BW/NX),1,2,0.5
Miss Fortune/Twisted Fate (BW/NX),Janna/Nilah (BW/PZ),1,2,0.5
Aurelion Sol/Shyvana (DE/MT),Nocturne/Vex (NX/SI),1,2,0.5
Nocturne/Vex (NX/SI),Aurelion Sol/Shyvana (DE/MT),1,2,0.5
Jarvan IV/Shen (DE/IO),Championless (PZ/SI),1,2,0.5
Championless (PZ/SI),Jarvan IV/Shen (DE/IO),1,2,0.5
Azir/Xerath (SH),Ashe/LeBlanc (FR/NX),1,2,0.5
Ashe/LeBlanc (FR/NX),Azir/Xerath (SH),1,2,0.5
Fiora (DE/FR),Anivia (FR/SI),1,2,0.5
Anivia (FR/SI),Fiora (DE/FR),1,2,0.5
Taliyah/Zilean (IO/SH),Trundle/Volibear (DE/FR),1,2,0.5
Trundle/Volibear (DE/FR),Taliyah/Zilean (IO/SH),1,2,0.5
Taliyah/Zilean (IO/SH),Senna (PZ/SI),1,2,0.5
Senna (PZ/SI),Taliyah/Zilean (IO/SH),1,2,0.5
Elder Dragon/Tryndamere/Volibear (RU/FR),Taliyah/Zilean (IO/SH),1,2,0.5
Taliyah/Zilean (IO/SH),Elder Dragon/Tryndamere/Volibear (RU/FR),1,2,0.5
Azir/Renekton (SH),Poppy/Ziggs (BC/NX),1,2,0.5
Poppy/Ziggs (BC/NX),Azir/Renekton (SH),1,2,0.5
Elder Dragon/Volibear (RU/FR),Seraphine/Sett (IO/PZ),1,2,0.5
Seraphine/Sett (IO/PZ),Elder Dragon/Volibear (RU/FR),1,2,0.5
Azir/Hecarim (SI/SH),Teemo (NX/PZ),1,2,0.5
Teemo (NX/PZ),Azir/Hecarim (SI/SH),1,2,0.5
Taliyah/Zilean (IO/SH),Janna (PZ/SI),1,2,0.5
Janna (PZ/SI),Taliyah/Zilean (IO/SH),1,2,0.5
Elder Dragon/Mordekaiser/Viego (RU/SI),Evelynn/Maokai (RU/SI),1,2,0.5
Evelynn/Maokai (RU/SI),Elder Dragon/Mordekaiser/Viego (RU/SI),1,2,0.5
Ezreal/Seraphine (IO/PZ),Aurelion Sol/Shyvana (DE/MT),1,2,0.5
Aurelion Sol/Shyvana (DE/MT),Ezreal/Seraphine (IO/PZ),1,2,0.5
Championpile (SI/SH),Elder Dragon/Lissandra/Trundle (RU/FR),1,2,0.5
Elder Dragon/Lissandra/Trundle (RU/FR),Championpile (SI/SH),1,2,0.5
Rumble/Vayne (DE/NX),Elder Dragon/Volibear (RU/FR),1,2,0.5
Elder Dragon/Volibear (RU/FR),Rumble/Vayne (DE/NX),1,2,0.5
Gnar/Neeko (FR/RU),Hecarim/Zed (IO/SI),1,2,0.5
Hecarim/Zed (IO/SI),Gnar/Neeko (FR/RU),1,2,0.5
Evelynn/Maokai (RU/SI),Caitlyn/Teemo (FR/PZ),1,2,0.5
Caitlyn/Teemo (FR/PZ),Evelynn/Maokai (RU/SI),1,2,0.5
Teemo (BC/PZ),Elder Dragon/Norra (RU/BC),1,2,0.5
Elder Dragon/Norra (RU/BC),Teemo (BC/PZ),1,2,0.5
Jax/Vi (RU/PZ),Maokai (BW/SI),1,2,0.5
Maokai (BW/SI),Jax/Vi (RU/PZ),1,2,0.5
Elise/Nocturne (MT/SI),Karma/Sett (FR/IO),1,2,0.5
Karma/Sett (FR/IO),Elise/Nocturne (MT/SI),1,2,0.5
Taliyah/Zilean (IO/SH),Elder Dragon/Lissandra/Volibear (RU/FR),1,2,0.5
Elder Dragon/Lissandra/Volibear (RU/FR),Taliyah/Zilean (IO/SH),1,2,0.5
Annie/Twisted Fate (BW/NX),Azir/Irelia (IO/SH),1,2,0.5
Azir/Irelia (IO/SH),Annie/Twisted Fate (BW/NX),1,2,0.5
Jarvan IV/Shen (DE/IO),Caitlyn/Teemo (FR/PZ),1,2,0.5
Caitlyn/Teemo (FR/PZ),Jarvan IV/Shen (DE/IO),1,2,0.5
Hecarim/Zed (IO/SI),Akshan/Mordekaiser (SI/SH),1,2,0.5
Akshan/Mordekaiser (SI/SH),Hecarim/Zed (IO/SI),1,2,0.5
Azir/Irelia (IO/SH),Galio/Udyr (DE/FR),1,2,0.5
Galio/Udyr (DE/FR),Azir/Irelia (IO/SH),1,2,0.5
Elder Dragon/Volibear (RU/FR),Gwen/Irelia (IO/SI),1,2,0.5
Gwen/Irelia (IO/SI),Elder Dragon/Volibear (RU/FR),1,2,0.5
Norra (BC/PZ),Maokai/Nautilus (BW/SI),1,2,0.5
Maokai/Nautilus (BW/SI),Norra (BC/PZ),1,2,0.5
Nocturne/Vex (PZ/SI),Hecarim/Lucian (DE/SI),1,2,0.5
Hecarim/Lucian (DE/SI),Nocturne/Vex (PZ/SI),1,2,0.5
Nocturne/Vex (PZ/SI),Nocturne/Vex (PZ/SI),1,2,0.5
Elder Dragon/Galio/Morgana (RU/DE),Mordekaiser/Norra (BC/SI),1,2,0.5
Mordekaiser/Norra (BC/SI),Elder Dragon/Galio/Morgana (RU/DE),1,2,0.5
Caitlyn/Teemo (FR/PZ),Mordekaiser/Viego (NX/SI),1,2,0.5
Mordekaiser/Viego (NX/SI),Caitlyn/Teemo (FR/PZ),1,2,0.5
Nilah/Twisted Fate (BW/PZ),Draven/Jinx (NX/PZ),1,2,0.5
Draven/Jinx (NX/PZ),Nilah/Twisted Fate (BW/PZ),1,2,0.5
Aurelion Sol/Elder Dragon (RU/MT),Draven/Jinx (NX/PZ),1,2,0.5
Draven/Jinx (NX/PZ),Aurelion Sol/Elder Dragon (RU/MT),1,2,0.5
Azir/Irelia (IO/SH),Azir/Hecarim (SI/SH),1,2,0.5
Azir/Hecarim (SI/SH),Azir/Irelia (IO/SH),1,2,0.5
Ashe/LeBlanc (FR/NX),Ezreal/Seraphine (IO/PZ),1,2,0.5
Ezreal/Seraphine (IO/PZ),Ashe/LeBlanc (FR/NX),1,2,0.5
Trundle/Tryndamere (FR/SI),Annie/Jhin (RU/NX),1,2,0.5
Annie/Jhin (RU/NX),Trundle/Tryndamere (FR/SI),1,2,0.5
Norra (BC/PZ),Mordekaiser/Norra (BC/SI),1,2,0.5
Mordekaiser/Norra (BC/SI),Norra (BC/PZ),1,2,0.5
Kayle/Zed (IO/MT),Evelynn/Maokai (RU/SI),1,2,0.5
