archetype_1,archetype_2,mu_win,mu_n,mu_wr,ci,ok_ci,direction,mirror,playrate_1,playrate_2
Trundle/Tryndamere (FR/IO),Garen/Jarvan IV (DE),3,8,0.375,(8.5% - 75.5%),FALSE,NEG,No,0.00897477360931436,0.0505336351875809
Garen/Jarvan IV (DE),Gangplank/Sejuani (BW/FR),3,8,0.375,(8.5% - 75.5%),FALSE,NEG,No,0.0505336351875809,0.00905562742561449
Kayle/Leona (MT/NX),Evelynn/Viego (RU/SI),3,8,0.375,(8.5% - 75.5%),FALSE,NEG,No,0.0295116429495472,0.0201326002587322
Evelynn/Renekton (RU/SH),Jayce/Lux (DE/PZ),3,8,0.375,(8.5% - 75.5%),FALSE,NEG,No,0.00735769728331177,0.061853169469599
Garen/Jarvan IV (DE),Trundle/Tryndamere (FR/IO),5,8,0.625,(24.5% - 91.5%),FALSE,POS,No,0.0505336351875809,0.00897477360931436
Gangplank/Sejuani (BW/FR),Garen/Jarvan IV (DE),5,8,0.625,(24.5% - 91.5%),FALSE,POS,No,0.00905562742561449,0.0505336351875809
Evelynn/Viego (RU/SI),Kayle/Leona (MT/NX),5,8,0.625,(24.5% - 91.5%),FALSE,POS,No,0.0201326002587322,0.0295116429495472
Jayce/Lux (DE/PZ),Evelynn/Renekton (RU/SH),5,8,0.625,(24.5% - 91.5%),FALSE,POS,No,0.061853169469599,0.00735769728331177
Championpile (FR/SH),Karma/Trundle (FR/IO),1,2,0.5,(1.3% - 98.7%),FALSE,TIE,No,0.00307244501940492,0.00323415265200517
Karma/Trundle (FR/IO),Championpile (FR/SH),1,2,0.5,(1.3% - 98.7%),FALSE,TIE,No,0.00323415265200517,0.00307244501940492
Twisted Fate/Viktor (BW/PZ),Garen/Jarvan IV (DE),1,2,0.5,(1.3% - 98.7%),FALSE,TIE,No,0.00169793014230272,0.0505336351875809
Garen/Jarvan IV (DE),Twisted Fate/Viktor (BW/PZ),1,2,0.5,(1.3% - 98.7%),FALSE,TIE,No,0.0505336351875809,0.00169793014230272
Elise/Viego (NX/SI),Evelynn/Viego (RU/SI),1,2,0.5,(1.3% - 98.7%),FALSE,TIE,No,0.00121280724450194,0.0201326002587322
Evelynn/Viego (RU/SI),Elise/Viego (NX/SI),1,2,0.5,(1.3% - 98.7%),FALSE,TIE,No,0.0201326002587322,0.00121280724450194
Garen/Jarvan IV (DE),Aphelios/Viktor (MT/PZ),1,2,0.5,(1.3% - 98.7%),FALSE,TIE,No,0.0505336351875809,0.00299159120310479
Aphelios/Viktor (MT/PZ),Garen/Jarvan IV (DE),1,2,0.5,(1.3% - 98.7%),FALSE,TIE,No,0.00299159120310479,0.0505336351875809
Trundle/Tryndamere (FR/SI),Jhin/Viktor (RU/PZ),1,2,0.5,(1.3% - 98.7%),FALSE,TIE,No,0.018111254851229,0.00307244501940492
Jhin/Viktor (RU/PZ),Trundle/Tryndamere (FR/SI),1,2,0.5,(1.3% - 98.7%),FALSE,TIE,No,0.00307244501940492,0.018111254851229
Rumble/Vayne (DE/NX),Jayce/Lux (DE/PZ),1,2,0.5,(1.3% - 98.7%),FALSE,TIE,No,0.00177878395860285,0.061853169469599
Jayce/Lux (DE/PZ),Rumble/Vayne (DE/NX),1,2,0.5,(1.3% - 98.7%),FALSE,TIE,No,0.061853169469599,0.00177878395860285
Annie/Twisted Fate (BW/NX),Lissandra/Trundle (FR/IO),1,2,0.5,(1.3% - 98.7%),FALSE,TIE,No,0.00169793014230272,0.00282988357050453
Lissandra/Trundle (FR/IO),Annie/Twisted Fate (BW/NX),1,2,0.5,(1.3% - 98.7%),FALSE,TIE,No,0.00282988357050453,0.00169793014230272
Gwen/Quinn (DE/SI),Ezreal/Seraphine (BC/PZ),1,2,0.5,(1.3% - 98.7%),FALSE,TIE,No,0.00565976714100906,0.00590232858990944
Ezreal/Seraphine (BC/PZ),Gwen/Quinn (DE/SI),1,2,0.5,(1.3% - 98.7%),FALSE,TIE,No,0.00590232858990944,0.00565976714100906
Miss Fortune/Twisted Fate (BW/NX),Ryze (IO/RU),1,2,0.5,(1.3% - 98.7%),FALSE,TIE,No,0.0019404915912031,0.0302393272962484
Ryze (IO/RU),Miss Fortune/Twisted Fate (BW/NX),1,2,0.5,(1.3% - 98.7%),FALSE,TIE,No,0.0302393272962484,0.0019404915912031
Miss Fortune/Quinn (BW/DE),Akshan/Varus (SH/RU),1,2,0.5,(1.3% - 98.7%),FALSE,TIE,No,0.0144728331177232,0.0120472186287193
Akshan/Varus (SH/RU),Miss Fortune/Quinn (BW/DE),1,2,0.5,(1.3% - 98.7%),FALSE,TIE,No,0.0120472186287193,0.0144728331177232
Akshan/Varus (SH/RU),Jax/Ornn (FR/RU),1,2,0.5,(1.3% - 98.7%),FALSE,TIE,No,0.0120472186287193,0.00727684346701164
Jax/Ornn (FR/RU),Akshan/Varus (SH/RU),1,2,0.5,(1.3% - 98.7%),FALSE,TIE,No,0.00727684346701164,0.0120472186287193
Kayle/Leona (MT/NX),Miss Fortune/Twisted Fate (BW/NX),1,2,0.5,(1.3% - 98.7%),FALSE,TIE,No,0.0295116429495472,0.0019404915912031
Miss Fortune/Twisted Fate (BW/NX),Kayle/Leona (MT/NX),1,2,0.5,(1.3% - 98.7%),FALSE,TIE,No,0.0019404915912031,0.0295116429495472
Jax/Ornn (FR/RU),Trundle/Tryndamere (FR/IO),1,2,0.5,(1.3% - 98.7%),FALSE,TIE,No,0.00727684346701164,0.00897477360931436
Trundle/Tryndamere (FR/IO),Jax/Ornn (FR/RU),1,2,0.5,(1.3% - 98.7%),FALSE,TIE,No,0.00897477360931436,0.00727684346701164
Gnar/Norra (BC/NX),Trundle/Tryndamere (FR/SI),1,2,0.5,(1.3% - 98.7%),FALSE,TIE,No,0.00129366106080207,0.018111254851229
Trundle/Tryndamere (FR/SI),Gnar/Norra (BC/NX),1,2,0.5,(1.3% - 98.7%),FALSE,TIE,No,0.018111254851229,0.00129366106080207
Annie/Ezreal (NX/PZ),Azir/Irelia (IO/SH),1,2,0.5,(1.3% - 98.7%),FALSE,TIE,No,0.0122897800776197,0.00848965071151358
Azir/Irelia (IO/SH),Annie/Ezreal (NX/PZ),1,2,0.5,(1.3% - 98.7%),FALSE,TIE,No,0.00848965071151358,0.0122897800776197
Fizz/Zoe (BC/MT),Aphelios/Zoe (BC/MT),1,2,0.5,(1.3% - 98.7%),FALSE,TIE,No,0.000404269081500647,0.00590232858990944
Aphelios/Zoe (BC/MT),Fizz/Zoe (BC/MT),1,2,0.5,(1.3% - 98.7%),FALSE,TIE,No,0.00590232858990944,0.000404269081500647
Jax/Ornn (FR/RU),Evelynn/Viego (RU/SI),1,2,0.5,(1.3% - 98.7%),FALSE,TIE,No,0.00727684346701164,0.0201326002587322
Evelynn/Viego (RU/SI),Jax/Ornn (FR/RU),1,2,0.5,(1.3% - 98.7%),FALSE,TIE,No,0.0201326002587322,0.00727684346701164
Jax/Ornn (FR/RU),Ryze (IO/RU),1,2,0.5,(1.3% - 98.7%),FALSE,TIE,No,0.00727684346701164,0.0302393272962484
Ryze (IO/RU),Jax/Ornn (FR/RU),1,2,0.5,(1.3% - 98.7%),FALSE,TIE,No,0.0302393272962484,0.00727684346701164
Caitlyn/Jinx (NX/PZ),Jayce/Lux (DE/PZ),1,2,0.5,(1.3% - 98.7%),FALSE,TIE,No,0.000808538163001294,0.061853169469599
Jayce/Lux (DE/PZ),Caitlyn/Jinx (NX/PZ),1,2,0.5,(1.3% - 98.7%),FALSE,TIE,No,0.061853169469599,0.000808538163001294
Ezreal/Karma (IO/PZ),Ryze (IO/RU),1,2,0.5,(1.3% - 98.7%),FALSE,TIE,No,0.00323415265200517,0.0302393272962484
Ryze (IO/RU),Ezreal/Karma (IO/PZ),1,2,0.5,(1.3% - 98.7%),FALSE,TIE,No,0.0302393272962484,0.00323415265200517
Kayle/Zed (IO/MT),Bard/Norra (BC/RU),1,2,0.5,(1.3% - 98.7%),FALSE,TIE,No,0.00145536869340233,0.0074385510996119
Bard/Norra (BC/RU),Kayle/Zed (IO/MT),1,2,0.5,(1.3% - 98.7%),FALSE,TIE,No,0.0074385510996119,0.00145536869340233
Jax/Ornn (FR/RU),Jax/Ornn (FR/RU),1,2,0.5,(1.3% - 98.7%),FALSE,TIE,Yes,0.00727684346701164,0.00727684346701164
Garen/Jarvan IV (DE/NX),Garen/Jarvan IV (DE),1,2,0.5,(1.3% - 98.7%),FALSE,TIE,No,0.000646830530401035,0.0505336351875809
Garen/Jarvan IV (DE),Garen/Jarvan IV (DE/NX),1,2,0.5,(1.3% - 98.7%),FALSE,TIE,No,0.0505336351875809,0.000646830530401035
Jayce/Lux (DE/PZ),Gwen/Illaoi (BW/SI),1,2,0.5,(1.3% - 98.7%),FALSE,TIE,No,0.061853169469599,0.00153622250970246
Gwen/Illaoi (BW/SI),Jayce/Lux (DE/PZ),1,2,0.5,(1.3% - 98.7%),FALSE,TIE,No,0.00153622250970246,0.061853169469599
Karma/Master Yi (FR/IO),Gangplank/Sejuani (BW/FR),1,2,0.5,(1.3% - 98.7%),FALSE,TIE,No,0.0115620957309185,0.00905562742561449
Gangplank/Sejuani (BW/FR),Karma/Master Yi (FR/IO),1,2,0.5,(1.3% - 98.7%),FALSE,TIE,No,0.00905562742561449,0.0115620957309185
Gwen/Illaoi (BW/SI),Garen/Jarvan IV (DE),1,2,0.5,(1.3% - 98.7%),FALSE,TIE,No,0.00153622250970246,0.0505336351875809
Garen/Jarvan IV (DE),Gwen/Illaoi (BW/SI),1,2,0.5,(1.3% - 98.7%),FALSE,TIE,No,0.0505336351875809,0.00153622250970246
Garen/Jarvan IV/Kayle (DE/MT),Ryze (IO/RU),1,2,0.5,(1.3% - 98.7%),FALSE,TIE,No,0.00121280724450194,0.0302393272962484
Ryze (IO/RU),Garen/Jarvan IV/Kayle (DE/MT),1,2,0.5,(1.3% - 98.7%),FALSE,TIE,No,0.0302393272962484,0.00121280724450194
Kayle/Leona (MT/NX),Garen (DE),1,2,0.5,(1.3% - 98.7%),FALSE,TIE,No,0.0295116429495472,0.00630659767141009
Garen (DE),Kayle/Leona (MT/NX),1,2,0.5,(1.3% - 98.7%),FALSE,TIE,No,0.00630659767141009,0.0295116429495472
Evelynn/Kai'Sa (RU/SH),Elise/Jayce (PZ/SI),1,2,0.5,(1.3% - 98.7%),FALSE,TIE,No,0.0169793014230272,0.00177878395860285
Elise/Jayce (PZ/SI),Evelynn/Kai'Sa (RU/SH),1,2,0.5,(1.3% - 98.7%),FALSE,TIE,No,0.00177878395860285,0.0169793014230272
Jayce/Lux (DE/PZ),Trundle (FR/PZ),1,2,0.5,(1.3% - 98.7%),FALSE,TIE,No,0.061853169469599,0.00258732212160414
Trundle (FR/PZ),Jayce/Lux (DE/PZ),1,2,0.5,(1.3% - 98.7%),FALSE,TIE,No,0.00258732212160414,0.061853169469599
Twisted Fate/Zoe (BW/MT),Heimerdinger/Jayce (PZ/SI),1,2,0.5,(1.3% - 98.7%),FALSE,TIE,No,0.000808538163001294,0.0555465717981889
Heimerdinger/Jayce (PZ/SI),Twisted Fate/Zoe (BW/MT),1,2,0.5,(1.3% - 98.7%),FALSE,TIE,No,0.0555465717981889,0.000808538163001294
Aatrox/Vayne (RU/DE),Taliyah/Ziggs (BC/SH),1,2,0.5,(1.3% - 98.7%),FALSE,TIE,No,0.00291073738680466,0.0147153945666235
Taliyah/Ziggs (BC/SH),Aatrox/Vayne (RU/DE),1,2,0.5,(1.3% - 98.7%),FALSE,TIE,No,0.0147153945666235,0.00291073738680466
Twisted Fate (BW/MT),Azir/Xerath (SH),1,2,0.5,(1.3% - 98.7%),FALSE,TIE,No,0.00291073738680466,0.00711513583441139
Azir/Xerath (SH),Twisted Fate (BW/MT),1,2,0.5,(1.3% - 98.7%),FALSE,TIE,No,0.00711513583441139,0.00291073738680466
Maokai/Nautilus (BW/SI),Heimerdinger/Jayce (PZ/SI),1,2,0.5,(1.3% - 98.7%),FALSE,TIE,No,0.00509379042690815,0.0555465717981889
Heimerdinger/Jayce (PZ/SI),Maokai/Nautilus (BW/SI),1,2,0.5,(1.3% - 98.7%),FALSE,TIE,No,0.0555465717981889,0.00509379042690815
Taliyah/Ziggs (BC/SH),Garen/Jarvan IV (DE/MT),1,2,0.5,(1.3% - 98.7%),FALSE,TIE,No,0.0147153945666235,0.00323415265200517
Garen/Jarvan IV (DE/MT),Taliyah/Ziggs (BC/SH),1,2,0.5,(1.3% - 98.7%),FALSE,TIE,No,0.00323415265200517,0.0147153945666235
Garen/Jarvan IV (DE/MT),Kalista/Nocturne (NX/SI),1,2,0.5,(1.3% - 98.7%),FALSE,TIE,No,0.00323415265200517,0.0133408796895213
Kalista/Nocturne (NX/SI),Garen/Jarvan IV (DE/MT),1,2,0.5,(1.3% - 98.7%),FALSE,TIE,No,0.0133408796895213,0.00323415265200517
Evelynn/Kai'Sa (RU/SH),Karma/Master Yi (IO/SI),1,2,0.5,(1.3% - 98.7%),FALSE,TIE,No,0.0169793014230272,0.00501293661060802
Karma/Master Yi (IO/SI),Evelynn/Kai'Sa (RU/SH),1,2,0.5,(1.3% - 98.7%),FALSE,TIE,No,0.00501293661060802,0.0169793014230272
Kalista/Nocturne (NX/SI),Aphelios/Zoe (BC/MT),1,2,0.5,(1.3% - 98.7%),FALSE,TIE,No,0.0133408796895213,0.00590232858990944
Aphelios/Zoe (BC/MT),Kalista/Nocturne (NX/SI),1,2,0.5,(1.3% - 98.7%),FALSE,TIE,No,0.00590232858990944,0.0133408796895213
Evelynn/Lucian (DE/RU),Lissandra/Trundle (FR/IO),1,2,0.5,(1.3% - 98.7%),FALSE,TIE,No,0.0164941785252264,0.00282988357050453
Lissandra/Trundle (FR/IO),Evelynn/Lucian (DE/RU),1,2,0.5,(1.3% - 98.7%),FALSE,TIE,No,0.00282988357050453,0.0164941785252264
Ryze (IO/RU),Kindred/Norra (BC/SI),1,2,0.5,(1.3% - 98.7%),FALSE,TIE,No,0.0302393272962484,0.00210219922380336
Kindred/Norra (BC/SI),Ryze (IO/RU),1,2,0.5,(1.3% - 98.7%),FALSE,TIE,No,0.00210219922380336,0.0302393272962484
Trundle/Tryndamere (FR/IO),Gangplank/Sejuani (BW/FR),1,2,0.5,(1.3% - 98.7%),FALSE,TIE,No,0.00897477360931436,0.00905562742561449
Gangplank/Sejuani (BW/FR),Trundle/Tryndamere (FR/IO),1,2,0.5,(1.3% - 98.7%),FALSE,TIE,No,0.00905562742561449,0.00897477360931436
