playerDeck,Akshan/Varus (RU/SH),Annie/Jhin (NX/RU),Annie/Twisted Fate (BW/NX),Aphelios/Seraphine (MT/PZ),Caitlyn/Teemo (BC/PZ),Diana/Leona (MT/SI),Draven/Jinx (NX/PZ),Ekko/Jinx (PZ/SH),Ezreal/Seraphine (NX/PZ),Gangplank/Sejuani (BW/FR),Gwen/Katarina (NX/SI),Gwen/Vayne (DE/SI),Hecarim/Zed (IO/SI),Heimerdinger/Jayce (PZ/SI),Jinx/Lulu (BC/PZ),Katarina/Yasuo (IO/NX),Kayn/Vayne (DE/RU),Maokai/Nautilus (BW/SI),Norra/Veigar (BC/SI),Pantheon/Varus (MT/RU),Pyke/Rek'Sai (BW/SH),Quinn/Vayne (DE/PZ),Rumble/Sion (BC/NX),Rumble/Vayne (DE/NX),Seraphine/Viktor (PZ/SI),SunDisc,Taliyah/Ziggs (BC/SH),Teemo/Zoe (BC/MT),Trundle Timelines (FR/PZ),Trundle/Tryndamere (FR/SI)
Akshan/Varus (RU/SH),0.5,0.361413043478261,0.417525773195876,0.563953488372093,0.608695652173913,0.49112426035503,0.397694524495677,0.59581881533101,0.541284403669725,0.497326203208556,0.465960665658094,0.536231884057971,0.398190045248869,0.529197080291971,0.479289940828402,0.474747474747475,0.570327552986513,0.53125,0.51131221719457,0.454106280193237,0.502242152466368,0.521739130434783,0.647887323943662,0.6,0.502762430939227,0.517730496453901,0.487068965517241,0.421199442119944,0.497584541062802,0.541573033707865
Annie/Jhin (NX/RU),0.638586956521739,0.5,0.456883509833586,0.53314121037464,0.644808743169399,0.37940379403794,0.398179749715586,0.341666666666667,0.54625550660793,0.457478005865103,0.424471299093656,0.542857142857143,0.651376146788991,0.335087719298246,0.271293375394322,0.67741935483871,0.540592168099331,0.446564885496183,0.326133909287257,0.745182012847966,0.530737704918033,0.385567010309278,0.608433734939759,0.605479452054795,0.389885807504078,0.782142857142857,0.607142857142857,0.630769230769231,0.711009174311927,0.44468085106383
Annie/Twisted Fate (BW/NX),0.582474226804124,0.543116490166415,0.5,0.349514563106796,0.564971751412429,0.554572271386431,0.650224215246637,0.504643962848297,0.576530612244898,0.464454976303318,0.482801751094434,0.588447653429603,0.487695749440716,0.576,0.521452145214521,0.746113989637306,0.582225913621262,0.390151515151515,0.495826377295493,0.509049773755656,0.593073593073593,0.558411214953271,0.485507246376812,0.634868421052632,0.423391812865497,0.47766323024055,0.436065573770492,0.629104958145525,0.471264367816092,0.369890329012961
Aphelios/Seraphine (MT/PZ),0.436046511627907,0.46685878962536,0.650485436893204,0.5,0.404255319148936,0.475862068965517,0.5,0.531135531135531,0.682242990654206,0.477777777777778,0.475186104218362,0.408,0.470873786407767,0.650980392156863,0.39622641509434,0.5,0.400346620450607,0.5625,0.656126482213439,0.436936936936937,0.552763819095477,0.359550561797753,0.552238805970149,0.28,0.568421052631579,0.491071428571429,0.450592885375494,0.478454680534918,0.492227979274611,0.465811965811966
Caitlyn/Teemo (BC/PZ),0.391304347826087,0.355191256830601,0.435028248587571,0.595744680851064,0.5,0.429906542056075,0.423728813559322,0.371212121212121,0.490566037735849,0.465909090909091,0.335917312661499,0.358208955223881,0.368794326241135,0.452702702702703,0.215189873417722,0.439393939393939,0.264084507042254,0.727272727272727,0.456140350877193,0.515463917525773,0.436893203883495,0.270491803278689,0.36734693877551,0.279411764705882,0.411764705882353,0.709677419354839,0.457142857142857,0.292682926829268,0.483870967741936,0.548672566371681
Diana/Leona (MT/SI),0.50887573964497,0.62059620596206,0.445427728613569,0.524137931034483,0.570093457943925,0.5,0.584474885844749,0.46474358974359,0.642105263157895,0.503184713375796,0.589285714285714,0.605042016806723,0.653061224489796,0.445614035087719,0.579710144927536,0.46969696969697,0.356164383561644,0.440366972477064,0.47926267281106,0.471428571428571,0.690476190476191,0.548780487804878,0.63013698630137,0.357142857142857,0.59271523178808,0.566929133858268,0.569105691056911,0.408860759493671,0.458333333333333,0.469733656174334
Draven/Jinx (NX/PZ),0.602305475504323,0.601820250284414,0.349775784753363,0.5,0.576271186440678,0.415525114155251,0.5,0.414893617021277,0.515873015873016,0.434782608695652,0.520510483135825,0.6,0.701244813278008,0.389679715302491,0.423566878980892,0.597989949748744,0.471774193548387,0.476190476190476,0.352534562211982,0.633187772925764,0.6,0.528942115768463,0.598214285714286,0.579088471849866,0.341071428571429,0.723880597014925,0.551059730250482,0.583424209378408,0.599476439790576,0.32967032967033
Ekko/Jinx (PZ/SH),0.40418118466899,0.658333333333333,0.495356037151703,0.468864468864469,0.628787878787879,0.53525641025641,0.585106382978723,0.5,0.525773195876289,0.556818181818182,0.520939734422881,0.521551724137931,0.635235732009926,0.431095406360424,0.557142857142857,0.441558441558442,0.369901547116737,0.511627906976744,0.478908188585608,0.447513812154696,0.591639871382637,0.506702412868633,0.48,0.44,0.437837837837838,0.589473684210526,0.452025586353945,0.454414931801867,0.511705685618729,0.446780551905388
Ezreal/Seraphine (NX/PZ),0.458715596330275,0.453744493392071,0.423469387755102,0.317757009345794,0.509433962264151,0.357894736842105,0.484126984126984,0.474226804123711,0.5,0.429824561403509,0.304556354916067,0.414893617021277,0.401069518716578,0.551724137931035,0.389830508474576,0.483333333333333,0.401098901098901,0.36046511627907,0.50381679389313,0.427586206896552,0.385185185185185,0.345323741007194,0.464285714285714,0.5078125,0.420814479638009,0.478723404255319,0.5,0.416833667334669,0.338582677165354,0.340277777777778
Gangplank/Sejuani (BW/FR),0.502673796791444,0.542521994134897,0.535545023696682,0.522222222222222,0.534090909090909,0.496815286624204,0.565217391304348,0.443181818181818,0.570175438596491,0.5,0.524774774774775,0.514492753623188,0.558333333333333,0.504065040650406,0.472727272727273,0.541353383458647,0.408045977011494,0.447204968944099,0.518115942028986,0.485576923076923,0.693227091633466,0.588888888888889,0.589473684210526,0.447552447552448,0.55,0.66,0.538759689922481,0.447957839262187,0.603174603174603,0.492248062015504
