archetype_1,archetype_2,mu_win,mu_n,mu_wr,ci,ok_ci,direction,mirror,playrate_1,playrate_2
Evelynn/Kai'Sa (RU/SH),Karma/Sett (IO/PZ),6,10,0.6,(26.2% - 87.8%),FALSE,POS,No,0.00902184235517569,0.0891500474833808
Jack (BW/PZ),Fizz/Samira (BW/NX),4,10,0.4,(12.2% - 73.8%),FALSE,NEG,No,0.00462962962962963,0.249762583095916
Heimerdinger/Jayce (PZ/SI),Gwen/Quinn (DE/SI),4,10,0.4,(12.2% - 73.8%),FALSE,NEG,No,0.0312203228869896,0.042022792022792
Karma/Sett (IO/PZ),Evelynn/Kai'Sa (RU/SH),4,10,0.4,(12.2% - 73.8%),FALSE,NEG,No,0.0891500474833808,0.00902184235517569
Annie/Caitlyn (NX/PZ),Fizz/Samira (BW/NX),25,36,0.694444444444445,(51.9% - 83.7%),TRUE,POS,No,0.0156695156695157,0.249762583095916
Fizz/Samira (BW/NX),Annie/Caitlyn (NX/PZ),11,36,0.305555555555556,(16.3% - 48.1%),TRUE,NEG,No,0.249762583095916,0.0156695156695157
Jack/Udyr (BW/FR),Fizz/Samira (BW/NX),4,19,0.210526315789474,(6.1% - 45.6%),TRUE,NEG,No,0.00605413105413105,0.249762583095916
Fizz/Samira (BW/NX),Jack/Udyr (BW/FR),15,19,0.789473684210526,(54.4% - 93.9%),TRUE,POS,No,0.249762583095916,0.00605413105413105
Fizz/Samira (BW/NX),Caitlyn/Jack (BW/PZ),6,14,0.428571428571429,(17.7% - 71.1%),FALSE,NEG,No,0.249762583095916,0.00415479582146249
Caitlyn/Jack (BW/PZ),Fizz/Samira (BW/NX),8,14,0.571428571428571,(28.9% - 82.3%),FALSE,POS,No,0.00415479582146249,0.249762583095916
Fizz/Samira (BW/NX),Norra/Veigar (BC/SI),22,38,0.578947368421053,(40.8% - 73.7%),FALSE,POS,No,0.249762583095916,0.0192307692307692
Norra/Veigar (BC/SI),Fizz/Samira (BW/NX),16,38,0.421052631578947,(26.3% - 59.2%),FALSE,NEG,No,0.0192307692307692,0.249762583095916
Fizz/Samira (BW/NX),Ekko (PZ/SH),10,13,0.769230769230769,(46.2% - 95.0%),FALSE,POS,No,0.249762583095916,0.00593542260208927
Ekko (PZ/SH),Fizz/Samira (BW/NX),3,13,0.230769230769231,(5.0% - 53.8%),FALSE,NEG,No,0.00593542260208927,0.249762583095916
Fizz/Samira (BW/NX),Jack/Swain (BW/NX),5,6,0.833333333333333,(35.9% - 99.6%),FALSE,POS,No,0.249762583095916,0.000949667616334283
Fizz/Samira (BW/NX),Jack/Samira (BW/NX),5,6,0.833333333333333,(35.9% - 99.6%),FALSE,POS,No,0.249762583095916,0.00284900284900285
Norra/Veigar (BC/SI),Miss Fortune/Quinn (BW/DE),5,6,0.833333333333333,(35.9% - 99.6%),FALSE,POS,No,0.0192307692307692,0.0328822412155746
Jack/Swain (BW/NX),Fizz/Samira (BW/NX),1,6,0.166666666666667,(0.4% - 64.1%),FALSE,NEG,No,0.000949667616334283,0.249762583095916
Jack/Samira (BW/NX),Fizz/Samira (BW/NX),1,6,0.166666666666667,(0.4% - 64.1%),FALSE,NEG,No,0.00284900284900285,0.249762583095916
Miss Fortune/Quinn (BW/DE),Norra/Veigar (BC/SI),1,6,0.166666666666667,(0.4% - 64.1%),FALSE,NEG,No,0.0328822412155746,0.0192307692307692
Jack/Sett (BW/IO),Fizz/Samira (BW/NX),7,30,0.233333333333333,(9.9% - 42.3%),TRUE,NEG,No,0.0115147198480532,0.249762583095916
Fizz/Samira (BW/NX),Jack/Sett (BW/IO),23,30,0.766666666666667,(57.7% - 90.1%),TRUE,POS,No,0.249762583095916,0.0115147198480532
Samira/Sejuani (FR/NX),Fizz/Samira (BW/NX),3,10,0.3,(6.7% - 65.2%),FALSE,NEG,No,0.00391737891737892,0.249762583095916
Fizz/Samira (BW/NX),Jack/Vayne (BW/DE),3,10,0.3,(6.7% - 65.2%),FALSE,NEG,No,0.249762583095916,0.0040360873694207
Fizz/Samira (BW/NX),Samira/Sejuani (FR/NX),7,10,0.7,(34.8% - 93.3%),FALSE,POS,No,0.249762583095916,0.00391737891737892
Jack/Vayne (BW/DE),Fizz/Samira (BW/NX),7,10,0.7,(34.8% - 93.3%),FALSE,POS,No,0.0040360873694207,0.249762583095916
Fizz/Samira (BW/NX),Quinn/Vayne (RU/DE),8,16,0.5,(24.7% - 75.3%),FALSE,TIE,No,0.249762583095916,0.00641025641025641
Quinn/Vayne (RU/DE),Fizz/Samira (BW/NX),8,16,0.5,(24.7% - 75.3%),FALSE,TIE,No,0.00641025641025641,0.249762583095916
Miss Fortune/Quinn (BW/DE),Miss Fortune/Quinn (BW/DE),8,16,0.5,(24.7% - 75.3%),FALSE,TIE,Yes,0.0328822412155746,0.0328822412155746
Pyke/Rek'Sai (BW/SH),Karma/Sett (IO/PZ),31,52,0.596153846153846,(45.1% - 73.0%),FALSE,POS,No,0.0543684710351377,0.0891500474833808
Karma/Sett (IO/PZ),Pyke/Rek'Sai (BW/SH),21,52,0.403846153846154,(27.0% - 54.9%),FALSE,NEG,No,0.0891500474833808,0.0543684710351377
