deck_code,factions,patch,cards,cards.region,champs,champs.region,allegiance,cards.fix,cards.region.fix,cards.region.freq,archetype,archetype_pretty,archetype_cluster
CQAQWBIKAECCOKBROSCADBIBUAA2OANPAEAQGBIKTAA2MAOCAEAQCBIKXQAQ,BC,214,05BC001 05BC001 05BC001 05BC004 05BC004 05BC004 05BC039 05BC039 05BC039 05BC040 05BC040 05BC040 05BC049 05BC049 05BC049 05BC116 05BC116 05BC116 05BC132 05BC132 05BC132 05BC133 05BC133 05BC133 05BC160 05BC160 05BC160 05BC167 05BC167 05BC167 05BC175 05BC175 05BC175 05BC152 05BC152 05BC166 05BC166 05BC194 05BC194 05BC188,BC,Tristana,BC,"05BC039,05BC039,05BC039",,,40,Tristana,,
CMAQSBIKFFQHJBIBSIAZQANAAG4ADQQBAEDAKCQKE5XYCANPAHAACAIBAUFIIAI,BC,214,05BC041 05BC041 05BC041 05BC096 05BC096 05BC096 05BC116 05BC116 05BC116 05BC133 05BC133 05BC133 05BC146 05BC146 05BC146 05BC152 05BC152 05BC152 05BC160 05BC160 05BC160 05BC184 05BC184 05BC184 05BC194 05BC194 05BC194 05BC010 05BC010 05BC039 05BC039 05BC111 05BC111 05BC129 05BC129 05BC175 05BC175 05BC192 05BC192 05BC132,BC,"Poppy,Tristana",BC,"05BC039,05BC039",,,40,Poppy/Tristana,,
CQAQ2BIKBUNSQSLCMSIQDIABUQA2MANHAHAAD2YBAAAQCBIKAQ,BC,214,05BC013 05BC013 05BC013 05BC027 05BC027 05BC027 05BC040 05BC040 05BC040 05BC073 05BC073 05BC073 05BC098 05BC098 05BC098 05BC100 05BC100 05BC100 05BC145 05BC145 05BC145 05BC160 05BC160 05BC160 05BC164 05BC164 05BC164 05BC166 05BC166 05BC166 05BC167 05BC167 05BC167 05BC192 05BC192 05BC192 05BC235 05BC235 05BC235 05BC004,BC,Championless,,,,,40,Championless (BC),,
CQAQQBIKDIVGA5FGAGTQDLYBYAAQEAIBAQEAOBIKFGAQDBIBRQAZQANAAHBACAA,BC,214,05BC026 05BC026 05BC026 05BC042 05BC042 05BC042 05BC096 05BC096 05BC096 05BC116 05BC116 05BC116 05BC166 05BC166 05BC166 05BC167 05BC167 05BC167 05BC175 05BC175 05BC175 05BC192 05BC192 05BC192 01PZ008 01PZ008 05BC041 05BC041 05BC129 05BC129 05BC133 05BC133 05BC140 05BC140 05BC152 05BC152 05BC160 05BC160 05BC194 05BC194,"BC,PZ","Poppy,Teemo,Tristana","BC,PZ",,05BC026 05BC026 05BC026 05BC042 05BC042 05BC042 05BC096 05BC096 05BC096 05BC116 05BC116 05BC116 05BC166 05BC166 05BC166 05BC167 05BC167 05BC167 05BC175 05BC175 05BC175 05BC192 05BC192 05BC192 01BC008 01BC008 05BC041 05BC041 05BC129 05BC129 05BC133 05BC133 05BC140 05BC140 05BC152 05BC152 05BC160 05BC160 05BC194 05BC194,BC,40,Poppy/Teemo/Tristana (BC),,
CQBACAQGFYDQKCQEDMUCU2MRAGTACAICAUFCSSICAEBQEAQLAUFAUGSGLZRGHJABXEA3YAOAAHBAC,BC,214,02BW046 02BW046 02BW046 05BC004 05BC004 05BC004 05BC027 05BC027 05BC027 05BC040 05BC040 05BC040 05BC042 05BC042 05BC042 05BC105 05BC105 05BC105 05BC145 05BC145 05BC145 05BC166 05BC166 05BC166 05BC041 05BC041 05BC073 05BC073 03IO002 05BC010 05BC026 05BC070 05BC094 05BC098 05BC099 05BC164 05BC185 05BC188 05BC192 05BC194,"BC,BW,IO","Fizz,Lulu,Poppy","BC,BW,IO",,02BC046 03BC002 02BC046 05BC004 05BC004 05BC004 05BC027 05BC027 05BC027 05BC040 05BC040 05BC040 05BC042 05BC042 05BC042 05BC105 05BC105 05BC105 05BC145 05BC145 05BC145 05BC166 05BC166 05BC166 05BC041 05BC041 05BC073 05BC073 02BC046 05BC010 05BC026 05BC070 05BC094 05BC098 05BC099 05BC164 05BC185 05BC188 05BC192 05BC194,BC,40,Fizz/Lulu/Poppy (BC),,
CQAQIBIKAQUVRUIBAEGQKCQBDITTCRKUKVNWY5EIAGXQDVQBAEBAKCUHAG7AC,BC,221,05BC004 05BC004 05BC004 05BC041 05BC041 05BC041 05BC088 05BC088 05BC088 05BC209 05BC209 05BC209 05BC001 05BC001 05BC026 05BC026 05BC039 05BC039 05BC049 05BC049 05BC069 05BC069 05BC084 05BC084 05BC085 05BC085 05BC091 05BC091 05BC108 05BC108 05BC116 05BC116 05BC136 05BC136 05BC175 05BC175 05BC214 05BC214 05BC135 05BC190,BC,"Poppy,Rumble",BC,"05BC039,05BC039",,,40,Poppy/Rumble,,
CQAQOBIKA4TSSYDUQUA26AIBBECQUCQ2NFXYCAMEAGGADIABYIAQCAIFBIAQ,BC,214,05BC007 05BC007 05BC007 05BC039 05BC039 05BC039 05BC041 05BC041 05BC041 05BC096 05BC096 05BC096 05BC116 05BC116 05BC116 05BC133 05BC133 05BC133 05BC175 05BC175 05BC175 05BC010 05BC010 05BC026 05BC026 05BC105 05BC105 05BC111 05BC111 05BC129 05BC129 05BC132 05BC132 05BC140 05BC140 05BC160 05BC160 05BC194 05BC194 05BC001,BC,"Poppy,Tristana",BC,"05BC039,05BC039,05BC039",,,40,Poppy/Tristana,,
CQAQYBIKA4TSSRKJNR2HRIYBUYA2OAPLAEAQEBIKDIXAA,BC,221,05BC007 05BC007 05BC007 05BC039 05BC039 05BC039 05BC041 05BC041 05BC041 05BC069 05BC069 05BC069 05BC073 05BC073 05BC073 05BC108 05BC108 05BC108 05BC116 05BC116 05BC116 05BC120 05BC120 05BC120 05BC163 05BC163 05BC163 05BC166 05BC166 05BC166 05BC167 05BC167 05BC167 05BC235 05BC235 05BC235 05BC026 05BC026 05BC046 05BC046,BC,"Poppy,Ziggs",BC,"05BC039,05BC039,05BC039",,,40,Poppy/Ziggs,,
CQBACAIEBAFQKCRHFJSHJBABQUAZCANEAGTADJYBV4AQCAQFBJCUMAA,BC,214,01PZ008 01PZ008 01PZ008 05BC039 05BC039 05BC039 05BC042 05BC042 05BC042 05BC100 05BC100 05BC100 05BC116 05BC116 05BC116 05BC132 05BC132 05BC132 05BC133 05BC133 05BC133 05BC145 05BC145 05BC145 05BC164 05BC164 05BC164 05BC166 05BC166 05BC166 05BC167 05BC167 05BC167 05BC175 05BC175 05BC175 05BC069 05BC069 05BC070 05BC070,"BC,PZ","Teemo,Tristana","BC,PZ","05BC039,05BC039,05BC039",01BC008 01BC008 01BC008 05BC039 05BC039 05BC039 05BC042 05BC042 05BC042 05BC100 05BC100 05BC100 05BC116 05BC116 05BC116 05BC132 05BC132 05BC132 05BC133 05BC133 05BC133 05BC145 05BC145 05BC145 05BC164 05BC164 05BC164 05BC166 05BC166 05BC166 05BC167 05BC167 05BC167 05BC175 05BC175 05BC175 05BC069 05BC069 05BC070 05BC070,BC,40,Teemo/Tristana (BC),,
CQAQSBIKDITSSYEEAGCQDJQBU4A26AIBAYCQU34HAGKADIABXEA4MAIBAECQU2I,BC,214,05BC026 05BC026 05BC026 05BC039 05BC039 05BC039 05BC041 05BC041 05BC041 05BC096 05BC096 05BC096 05BC132 05BC132 05BC132 05BC133 05BC133 05BC133 05BC166 05BC166 05BC166 05BC167 05BC167 05BC167 05BC175 05BC175 05BC175 05BC111 05BC111 05BC135 05BC135 05BC148 05BC148 05BC160 05BC160 05BC185 05BC185 05BC198 05BC198 05BC105,BC,"Poppy,Tristana",BC,"05BC039,05BC039,05BC039",,,40,Poppy/Tristana,,
