playerDeck,Annie/Twisted Fate (BW/NX),Draven/Jinx (NX/PZ),Ekko/Jinx (PZ/SH),Gwen/Katarina (NX/SI),Heimerdinger/Jayce (PZ/SI),Kayn/Vayne (DE/RU),Quinn/Vayne (DE/PZ),Seraphine/Viktor (PZ/SI),Teemo/Zoe (BC/MT),Trundle/Tryndamere (FR/SI),Annie/Jhin (NX/RU),Akshan/Varus (RU/SH),Anivia (FR/SI),Annie/Gwen (NX/SI),Aphelios/Seraphine (MT/PZ),Aphelios/Viktor (MT/PZ),Ashe/Kindred (FR/SI),Aurelion Sol/Leona (DE/MT),Aurelion Sol/Shyvana (DE/MT),Azir/Irelia (IO/SH),Azir/Xerath (SH),Braum/Vladimir (FR/NX),Caitlyn/Teemo (BC/PZ),Diana/Leona (MT/SI),Elise/Gwen (NX/SI),Elise/Nocturne (NX/SI),Elise/Norra (BC/SI),Elise/Twisted Fate (BW/SI),Ezreal/Kennen (IO/PZ),Ezreal/Seraphine (BC/PZ),Ezreal/Seraphine (NX/PZ),Ezreal/Seraphine (PZ/SI),Gangplank/Sejuani (BW/FR),Gwen/Vayne (DE/SI),Hecarim/Zed (IO/SI),Heimerdinger/Norra (BC/SI),Jax/Ornn (FR/RU),Jinx (FR/PZ),Jinx/Lulu (BC/PZ),Katarina/Yasuo (IO/NX),Kindred/Nasus (SI/SH),Maokai/Nautilus (BW/SI),Miss Fortune/Swain (BW/NX),Miss Fortune/Twisted Fate (BW/NX),Norra/Veigar (BC/SI),Pantheon/Varus (MT/RU),Pantheon/Vayne (DE/MT),Pyke/Rek'Sai (BW/SH),Rumble/Sion (BC/NX),Rumble/Vayne (DE/NX),Senna/Veigar (BC/SI),Seraphine/Viktor (BC/PZ),Seraphine/Viktor (BW/PZ),Seraphine/Viktor (IO/PZ),Swain/Twisted Fate (BW/NX),Taliyah (BW/SH),Taliyah/Ziggs (BC/SH),Trundle (FR/PZ),Akshan/Kayn (RU/SH),Aphelios/Leona (MT/SI),Ashe/LeBlanc (FR/NX),Ashe/Thresh (FR/SI),Aurelion Sol/Trundle (FR/MT),Aurelion Sol/Zoe (FR/MT),Bard/Norra (BC/RU),Caitlyn/Trundle (FR/PZ),Championless (FR/SI),Diana/Nocturne (MT/SI),Ekko/Zilean (PZ/SH),Elise (FR/SI),Elise (NX/SI),Evelynn/Kindred (RU/SI),Evelynn/Udyr (FR/RU),Evelynn/Viego (RU/SI),Fiora/Vayne (DE/PZ),Jax/Vayne (DE/RU),Jayce/Lux (DE/PZ),Jinx/Rumble (BC/PZ),Kai'Sa/Sivir (DE/SH),Karma/Viktor (IO/PZ),Kindred/Norra (BC/SI),Malphite/Taliyah (MT/SH),Master Yi/Zoe (IO/MT),Norra/Swain (BC/NX),Ornn/Trundle (FR/PZ),Trundle/Vi (FR/PZ),Vayne/Zed (DE/IO),Xerath/Ziggs (BC/SH),Ahri/Kennen (FR/IO),Fizz/Nami (BW/RU),Hecarim/Lucian (DE/SI),Kai'Sa (DE/SH),Katarina/Twisted Fate (BW/NX),LeBlanc/Sivir (NX/SH),Akshan/Sivir (DE/SH),Annie/Ezreal (NX/PZ),Kai'Sa/Vayne (DE/SH),Norra/Teemo (BC/FR),Ornn/Udyr (FR/NX),Akshan/Kai'Sa (RU/SH),Akshan/Lee Sin (IO/SH),Akshan/Pantheon (MT/SH),Akshan/Udyr (FR/SH),Annie/Elise (NX/SI),Aphelios/Seraphine/Viktor (MT/PZ),Aphelios/Zoe (MT/PZ),Ashe/Senna (FR/SI),Aurelion Sol/Braum (FR/MT),Aurelion Sol/Tryndamere (FR/MT),Braum (FR/PZ),Braum/Norra (BC/FR),Championpile (DE/FR),Elise/Jayce (PZ/SI),Fiora/Pantheon (DE/MT),Fizz/Twisted Fate (BW/PZ),Galio/Trundle (DE/FR),Garen/Jarvan IV (DE),Gwen/Hecarim (IO/SI),Hecarim (IO/SI),Hecarim/Kalista (IO/SI),Karma/Master Yi (IO/SI),Kindred/Viego (IO/SI),Leona/Yasuo (IO/MT),Lissandra/Taliyah (FR/SH),Lissandra/Trundle (FR/SI),Miss Fortune/Quinn (BW/DE),Miss Fortune/Vayne (BW/DE),Norra/Teemo (BC/PZ),Poppy/Taric (DE/MT),Riven/Viktor (NX/PZ),Seraphine/Viktor (MT/PZ),Soraka/Tahm Kench (BW/MT),Viego (FR/SI),Xerath/Zilean (BC/SH),Zilean (BW/SH),Zilean (PZ/SH),Aphelios/Diana (MT/SI),Azir/Hecarim (SI/SH),Evelynn/Norra (BC/RU),Ezreal/Karma (IO/PZ),Galio/Leona (DE/MT),Karma/Lux (DE/IO),Kayn/Ornn (FR/RU),Nasus/Thresh (SI/SH),Nautilus (BW/SI),Norra/Zoe (BC/MT),Ornn/Vayne (DE/FR),Seraphine/Viktor (PZ/SH)
Katarina/Yasuo (IO/NX),0.252336448598131,0.406392694063927,0.552941176470588,0.488888888888889,0.505882352941176,0.511013215859031,0.517857142857143,0.470588235294118,0.54296875,0.569620253164557,0.321285140562249,0.513761467889908,,,0.480916030534351,,,,,0.263157894736842,0.569767441860465,,0.58974358974359,0.564102564102564,,,0.486842105263158,,,0.296296296296296,0.471428571428571,,0.469879518072289,0.621621621621622,0.450292397660819,0.506493506493507,,0.49438202247191,0.40650406504065,0.5,0.564102564102564,0.490566037735849,0.342857142857143,,0.4,0.56875,,0.429447852760736,0.455882352941176,0.514851485148515,0.479452054794521,0.620689655172414,0.462962962962963,0.536585365853659,0.433333333333333,,0.533707865168539,0.567567567567568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kayn/Ornn (FR/RU),,,,,,,,,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kayn/Vayne (DE/RU),0.411764705882353,0.525609756097561,0.633049817739976,0.516661919681003,0.535991140642303,0.5,0.504918032786885,0.522903453136011,0.473377380489701,0.518394648829431,0.454251012145749,0.440438871473354,0.591836734693878,0.585271317829457,0.602165087956698,0.55893536121673,0.25,0.50625,0.543956043956044,0.642276422764228,0.586693548387097,0.625,0.736842105263158,0.642857142857143,0.511737089201878,0.584269662921348,0.595533498759305,0.514705882352941,0.562790697674419,0.621700879765396,0.59375,0.615853658536585,0.6,0.532,0.555555555555556,0.528767123287671,0.516129032258065,0.681395348837209,0.594674556213018,0.488986784140969,0.633074935400517,0.528963414634146,0.651785714285714,0.556451612903226,0.567567567567568,0.421116504854369,0.51063829787234,0.436686390532544,0.588709677419355,0.493697478991597,0.567335243553009,0.61038961038961,0.63728813559322,0.56047197640118,0.571917808219178,0.707792207792208,0.609170305676856,0.490079365079365,0.443181818181818,0.473282442748092,0.372549019607843,0.484375,0.540816326530612,0.607954545454545,0.771428571428571,0.584415584415584,0.782857142857143,0.5,0.75,0.685714285714286,0.580246913580247,,0.771084337349398,0.578313253012048,0.507462686567164,0.6,0.587628865979382,0.685714285714286,0.593360995850622,0.564102564102564,0.555555555555556,0.567567567567568,0.604938271604938,0.568965517241379,0.453488372093023,0.539325842696629,0.590909090909091,0.705882352941177,0.587155963302752,0.448717948717949,0.650602409638554,0.614678899082569,0.375,0.384615384615385,,,0.54,0.679245283018868,,,,0.415094339622642,0.508771929824562,,0.784313725490196,,0.363636363636364,0.551020408163265,0.694736842105263,,,0.68421052631579,,,,0.686274509803922,0.547169811320755,0.553571428571429,0.490909090909091,,0.578125,,0.690909090909091,0.792452830188679,,,,,,,0.597402597402597,0.470588235294118,0.714285714285714,0.716981132075472,0.674418604651163,,,,,,,,,,,,,
Kindred/Nasus (SI/SH),0.451063829787234,0.363924050632911,0.425837320574163,0.352713178294574,0.559471365638767,0.366925064599483,0.402684563758389,0.422413793103448,0.336538461538462,0.575949367088608,0.391585760517799,0.452173913043478,0.645161290322581,0.519607843137255,0.471544715447155,,0.419354838709677,,,,0.511111111111111,0.579710144927536,0.444444444444444,0.480769230769231,,,0.518796992481203,0.68,,,0.55,,0.390243902439024,0.478260869565217,0.409326424870466,0.5125,0.686274509803922,0.446153846153846,0.392857142857143,0.435897435897436,0.5,0.5,0.38961038961039,,0.547368421052632,0.401315789473684,0.549019607843137,0.472602739726027,0.528301886792453,0.46875,0.619047619047619,0.333333333333333,0.507246376811594,0.530120481927711,0.425287356321839,0.535714285714286,0.444444444444444,0.513157894736842,,,,,,,,,,,,,,,,,,,,,0.482142857142857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kindred/Norra (BC/SI),0.561797752808989,0.67,0.443037974683544,0.508620689655172,0.404761904761905,0.444444444444444,0.344827586206897,0.253521126760563,0.424489795918367,0.352941176470588,0.795698924731183,,,,,,,,,,,,,,,,,,,,,,,,0.653846153846154,,,,,,,,,,0.454545454545455,0.68421052631579,,,,0.627118644067797,,,,,,,0.431034482758621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kindred/Viego (IO/SI),,,,0.333333333333333,,,,,0.285714285714286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LeBlanc/Sivir (NX/SH),0.403508771929825,,,0.367816091954023,,0.615384615384615,,,0.49438202247191,0.64406779661017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leona/Yasuo (IO/MT),,,,0.528571428571429,,0.309090909090909,,,0.225352112676056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lissandra/Taliyah (FR/SH),,,,0.394736842105263,,0.207547169811321,,,0.329113924050633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lissandra/Trundle (FR/SI),,,,0.316455696202532,,,,,0.298507462686567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malphite/Taliyah (MT/SH),0.426470588235294,,,0.484076433121019,,0.432432432432432,,0.6,0.132743362831858,0.467391304347826,0.206349206349206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maokai/Nautilus (BW/SI),0.623824451410658,0.517374517374517,0.489626556016598,0.476885644768856,0.419047619047619,0.471036585365854,0.477707006369427,0.489130434782609,0.240188383045526,0.455156950672646,0.568253968253968,0.475,0.543859649122807,0.708860759493671,0.425149700598802,0.403225806451613,,,0.461538461538462,0.516129032258065,0.448275862068966,0.58,0.271604938271605,0.573770491803279,,,0.522522522522523,,,0.586666666666667,0.642857142857143,,0.553571428571429,0.483333333333333,0.439130434782609,0.51063829787234,0.706896551724138,0.5,0.355263157894737,0.509433962264151,0.5,0.5,0.483516483516484,,0.575,0.534031413612565,0.435483870967742,0.481308411214953,0.48,0.365671641791045,0.523809523809524,0.522388059701493,0.380952380952381,0.523809523809524,0.6125,0.5625,0.451612903225806,0.47008547008547,,,,,,,,,,,,,,,,,,,,,0.509433962264151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Master Yi/Zoe (IO/MT),0.328358208955224,,,0.25,,0.395061728395062,,,0.282828282828283,0.409638554216867,0.148148148148148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miss Fortune/Quinn (BW/DE),,,,0.594202898550725,,,,,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miss Fortune/Swain (BW/NX),0.454128440366972,0.544747081712062,0.377659574468085,0.452830188679245,0.463541666666667,0.348214285714286,0.477272727272727,0.52970297029703,0.514071294559099,0.40377358490566,0.561514195583596,0.630252100840336,0.480769230769231,0.333333333333333,0.422018348623853,,,,,0.592592592592593,0.6375,0.428571428571429,0.532258064516129,0.405405405405405,0.392156862745098,,0.473684210526316,,,,0.583333333333333,,0.419354838709677,0.614583333333333,0.58641975308642,0.393617021276596,0.576923076923077,0.567164179104478,0.404494382022472,0.657142857142857,0.61038961038961,0.516483516483517,0.5,,0.316091954022989,0.543046357615894,0.509090909090909,0.562913907284768,0.5,0.626984126984127,0.561643835616438,,,0.571428571428571,0.352112676056338,0.628571428571429,0.595092024539877,0.588235294117647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miss Fortune/Twisted Fate (BW/NX),0.615384615384615,0.465909090909091,0.388059701492537,0.511627906976744,0.657534246575342,0.443548387096774,0.632352941176471,0.511111111111111,0.534031413612565,0.42,0.695652173913044,0.666666666666667,,,,,,,,,,,,,,,,,,,,,0.52,,0.746478873239437,,,,,,,,,,0.365079365079365,0.685714285714286,,0.62962962962963,,,,,,,,,0.545454545454545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miss Fortune/Vayne (BW/DE),,,,0.525423728813559,,,,,0.382352941176471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nasus/Thresh (SI/SH),,,,,,,,,0.296296296296296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nautilus (BW/SI),,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norra/Swain (BC/NX),0.403846153846154,0.642857142857143,,0.522388059701493,,0.431034482758621,,,0.317647058823529,,0.352941176470588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norra/Teemo (BC/FR),,0.367647058823529,0.345454545454545,,,0.320754716981132,,,0.29126213592233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norra/Teemo (BC/PZ),,,,0.192307692307692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
