deck_code,factions,patch,cards,cards.region,champs,champs.region,allegiance,cards.fix,cards.region.fix,cards.region.freq,archetype,archetype_pretty,archetype_cluster,alle,alle.region
CQBACBIKHIAQKAQEAYAQEAQKAEBQEBIBAQBA6AYFAIBBQGQFAUFAIMNGAG2ADNIBAYAQEBQMFQYTEOIA,"BC,IO",221,05BC058 05BC058 05BC058 05IO004 05IO004 05IO004 02IO010 02IO010 03IO005 03IO005 04IO015 04IO015 05IO002 05IO002 05IO024 05IO024 05IO026 05IO026 05BC004 05BC004 05BC049 05BC049 05BC166 05BC166 05BC180 05BC180 05BC181 05BC181 01IO006 01IO006 01IO012 01IO012 01IO044 01IO044 01IO049 01IO049 01IO050 01IO050 01IO057 01IO057,IO,"Ahri,Kennen","BC,IO","01IO050,01IO050",,,27,Ahri/Kennen,,,01IO050,IO
CQBQCAQCBIAQKCR2AICQEBAXAUAQCAQMAEBQEBIBAQBA6AQFAIARSBIFBIXDQP37WYAQGAIFBK2ACAQFAIBRKBIBAIEAWIJFGI,"BC,IO",221,02IO010 02IO010 02IO010 05BC058 05BC058 05BC058 05IO004 05IO004 05IO004 05IO023 05IO023 05IO023 01IO012 01IO012 03IO005 03IO005 04IO015 04IO015 05IO001 05IO001 05IO025 05IO025 05BC046 05BC046 05BC056 05BC056 05BC063 05BC063 05BC127 05BC127 05BC182 05BC182 05BC180 05IO003 05IO021 01IO008 01IO011 01IO033 01IO037 01IO050,IO,"Ahri,Kennen","BC,IO",01IO050,,,26,Ahri/Kennen,,,01IO050,IO
CQBQCBACB4AQKCR2AECQEBAFAEBAECQBAMBAKAQFAIBBKAYFBIATRNABAUAQECYMFQYTSBABAIBAKAQBAIMDEAQFBJ73MAICAUBAOGA,"BC,IO",221,04IO015 04IO015 04IO015 05BC058 05BC058 05BC058 05IO004 05IO004 05IO004 02IO010 02IO010 03IO005 03IO005 05IO002 05IO002 05IO021 05IO021 05BC001 05BC001 05BC056 05BC056 05BC180 05BC180 01IO011 01IO011 01IO012 01IO012 01IO044 01IO044 01IO049 01IO049 01IO057 01IO057 02IO005 01IO024 01IO050 05BC127 05BC182 05IO007 05IO024,IO,"Ahri,Kennen","BC,IO",01IO050,,,29,Ahri/Kennen,,,01IO050,IO
CQCACAQCAUAQKAQEAICQUOVGAECACAQIBMGCYBIBAEBDEAIEAIHQCBICCUBAGAQFCQBAKCQ3GEBACAICGEAQKCQE,"BC,IO",221,02IO005 02IO005 02IO005 05IO004 05IO004 05IO004 05BC058 05BC058 05BC058 05BC166 05BC166 05BC166 01IO008 01IO008 01IO008 01IO011 01IO011 01IO011 01IO012 01IO012 01IO012 01IO044 01IO044 01IO044 01IO050 01IO050 04IO015 04IO015 05IO021 05IO021 03IO005 03IO005 03IO020 03IO020 05BC027 05BC027 05BC049 05BC049 01IO049 05BC004,IO,"Ahri,Kennen","BC,IO","01IO050,01IO050",,,29,Ahri/Kennen,,,01IO050,IO
CQCACAQCBIAQKAQEAIAQEDBSAMCQUOVGAG3ACBQBAIBAKAIDAICQCBACB4AQKCVUAEBACAQVGEBAKAQGA4BQCAICFQAQGAQUAECAEDA,"BC,IO",221,02IO010 02IO010 02IO010 05IO004 05IO004 05IO004 01IO012 01IO012 01IO012 01IO050 01IO050 01IO050 05BC058 05BC058 05BC058 05BC166 05BC166 05BC166 05BC182 05BC182 05BC182 02IO005 02IO005 03IO005 03IO005 04IO015 04IO015 05BC180 05BC180 01IO021 01IO021 01IO049 01IO049 05IO006 05IO006 05IO007 05IO007 01IO044 03IO020 04IO012,IO,"Ahri,Kennen","BC,IO","01IO050,01IO050,01IO050",,,29,Ahri/Kennen,,,01IO050,IO
CQCACAQCBIBAKCRYHIBAKAQEDIBQCAQMFQ4QKAIBAIZACAQCAUAQGAQFAECAEDYCAUBAMFICAIBQEEYUAICQEFAZ,"BC,IO",221,02IO010 02IO010 02IO010 05BC056 05BC056 05BC056 05BC058 05BC058 05BC058 05IO004 05IO004 05IO004 05IO026 05IO026 05IO026 01IO012 01IO012 01IO012 01IO044 01IO044 01IO044 01IO057 01IO057 01IO057 01IO050 01IO050 02IO005 02IO005 03IO005 03IO005 04IO015 04IO015 05IO006 05IO006 05IO021 05IO021 03IO019 03IO020 05IO020 05IO025,IO,"Ahri,Kennen","BC,IO","01IO050,01IO050",,,34,Ahri/Kennen,,,01IO050,IO
CQCACAQCBICACAQIBQWDEBAFBI4DUP5WAECAKAQECULRUAABAEBQEFA,"BC,IO",221,02IO010 02IO010 02IO010 01IO008 01IO008 01IO008 01IO012 01IO012 01IO012 01IO044 01IO044 01IO044 01IO050 01IO050 01IO050 05BC056 05BC056 05BC056 05BC058 05BC058 05BC058 05BC063 05BC063 05BC063 05BC182 05BC182 05BC182 05IO004 05IO004 05IO004 05IO021 05IO021 05IO021 05IO023 05IO023 05IO023 05IO026 05IO026 05IO026 03IO020,IO,"Ahri,Kennen","BC,IO","01IO050,01IO050,01IO050",,,28,Ahri/Kennen,,,01IO050,IO
CQCACAYCAUBAKCR2WYAQGBICAQKROBIBAIEAYLBSHEBQCAICGEAQEAQKAECAEDYBAEAQECY,"BC,IO",221,03IO005 03IO005 03IO005 05BC058 05BC058 05BC058 05BC182 05BC182 05BC182 05IO004 05IO004 05IO004 05IO021 05IO021 05IO021 05IO023 05IO023 05IO023 01IO008 01IO008 01IO008 01IO012 01IO012 01IO012 01IO044 01IO044 01IO044 01IO050 01IO050 01IO050 01IO057 01IO057 01IO057 01IO049 01IO049 02IO010 02IO010 04IO015 04IO015 01IO011,IO,"Ahri,Kennen","BC,IO","01IO050,01IO050,01IO050",,,34,Ahri/Kennen,,,01IO050,IO
CQCACBACB4AQKCR2AICQEBA2AQAQEDBMGI4QIAIDAIKACBIKWYAQEAQCAUFAEBICCULQGAICAIEACAYCAUBACAQCBM,"BC,IO",221,04IO015 04IO015 04IO015 05BC058 05BC058 05BC058 05IO004 05IO004 05IO004 05IO026 05IO026 05IO026 01IO012 01IO012 01IO012 01IO044 01IO044 01IO044 01IO050 01IO050 01IO050 01IO057 01IO057 01IO057 03IO020 03IO020 05BC182 05BC182 02IO005 02IO005 02IO010 02IO010 05IO021 05IO021 05IO023 05IO023 02IO008 03IO005 01IO002 01IO011,IO,"Ahri,Kennen","BC,IO","01IO050,01IO050,01IO050",,,35,Ahri/Kennen,,,01IO050,IO
CQCACBACB4AQKCR2AMCQEAIEDICQCAQGBQITEOIEAEAQELABAIBAUAIDAICQCBIKUYAQEAIBAIYQCBIKWYAQ,"BC,IO",221,04IO015 04IO015 04IO015 05BC058 05BC058 05BC058 05IO001 05IO001 05IO001 05IO004 05IO004 05IO004 05IO026 05IO026 05IO026 01IO006 01IO006 01IO006 01IO012 01IO012 01IO012 01IO017 01IO017 01IO017 01IO050 01IO050 01IO050 01IO057 01IO057 01IO057 01IO044 01IO044 02IO010 02IO010 03IO005 03IO005 05BC166 05BC166 01IO049 05BC182,IO,"Ahri,Kennen","BC,IO","01IO050,01IO050,01IO050",,,34,Ahri/Kennen,,,01IO050,IO
CQCACBACB4BAKAQEDICACAQMCEWDEBIFBICDCOVGAHJACAQBAEBAMAIDAICQA,"BC,IO",221,04IO015 04IO015 04IO015 05IO004 05IO004 05IO004 05IO026 05IO026 05IO026 01IO012 01IO012 01IO012 01IO017 01IO017 01IO017 01IO044 01IO044 01IO044 01IO050 01IO050 01IO050 05BC004 05BC004 05BC004 05BC049 05BC049 05BC049 05BC058 05BC058 05BC058 05BC166 05BC166 05BC166 05BC210 05BC210 05BC210 01IO006 01IO006 03IO005 03IO005,IO,"Ahri,Kennen","BC,IO","01IO050,01IO050,01IO050",,,25,Ahri/Kennen,,,01IO050,IO
CQCACBACB4BAKCQEHICACAQCBQITEBAFAICAOFI2AIAQCARFAEBQEFADAEAQEMIBAIBAUAIFAIBA,"BC,IO",221,04IO015 04IO015 04IO015 05BC004 05BC004 05BC004 05BC058 05BC058 05BC058 01IO002 01IO002 01IO002 01IO012 01IO012 01IO012 01IO017 01IO017 01IO017 01IO050 01IO050 01IO050 05IO004 05IO004 05IO004 05IO007 05IO007 05IO007 05IO021 05IO021 05IO021 05IO026 05IO026 05IO026 01IO037 01IO037 03IO020 03IO020 01IO049 02IO010 05IO002,IO,"Ahri,Kennen","BC,IO","01IO050,01IO050,01IO050",,,34,Ahri/Kennen,,,01IO050,IO
CQCACBACB4BAKCR2UYAQEBICAQNAKAICAYGCYMRZAMAQKCQ2AIAQEEIVAIBQEBIUAA,"BC,IO",221,04IO015 04IO015 04IO015 05BC058 05BC058 05BC058 05BC166 05BC166 05BC166 05IO004 05IO004 05IO004 05IO026 05IO026 05IO026 01IO006 01IO006 01IO006 01IO012 01IO012 01IO012 01IO044 01IO044 01IO044 01IO050 01IO050 01IO050 01IO057 01IO057 01IO057 05BC026 05BC026 01IO017 01IO017 01IO021 01IO021 03IO005 03IO005 03IO020 03IO020,IO,"Ahri,Kennen","BC,IO","01IO050,01IO050,01IO050",,,32,Ahri/Kennen,,,01IO050,IO
CQCACBACB4BAKCRYHIBAKAQEDIDQCAQGBMGBILBSHEAQCAYCCQBACAQCBIAQKAQH,"BC,IO",221,04IO015 04IO015 04IO015 05BC056 05BC056 05BC056 05BC058 05BC058 05BC058 05IO004 05IO004 05IO004 05IO026 05IO026 05IO026 01IO006 01IO006 01IO006 01IO011 01IO011 01IO011 01IO012 01IO012 01IO012 01IO020 01IO020 01IO020 01IO044 01IO044 01IO044 01IO050 01IO050 01IO050 01IO057 01IO057 01IO057 03IO020 03IO020 02IO010 05IO007,IO,"Ahri,Kennen","BC,IO","01IO050,01IO050,01IO050",,,34,Ahri/Kennen,,,01IO050,IO
