player,opponent,muWin,muGames,muWR,factions,okCI,direction,CI,playrate
Akshan / Pyke,Akshan / Sivir (DE/SH),3,16,0.1875,"Bilgewater,Shurima",TRUE,NEG,(4.0%-45.6%),0.000422404225462101
Akshan / Pyke,Akshan / Sivir / Zed,5,13,0.384615384615385,"Bilgewater,Shurima",FALSE,NEG,(13.9%-68.4%),0.000422404225462101
Akshan / Pyke,Azir / Irelia,5,28,0.178571428571429,"Bilgewater,Shurima",TRUE,NEG,(6.1%-36.9%),0.000422404225462101
Akshan / Pyke,Draven / Ezreal,2,11,0.181818181818182,"Bilgewater,Shurima",FALSE,NEG,(2.3%-51.8%),0.000422404225462101
Akshan / Pyke,Draven / Jinx,2,14,0.142857142857143,"Bilgewater,Shurima",TRUE,NEG,(1.8%-42.8%),0.000422404225462101
Akshan / Pyke,Gangplank / Miss Fortune (BW/NX),4,19,0.210526315789474,"Bilgewater,Shurima",TRUE,NEG,(6.1%-45.6%),0.000422404225462101
Akshan / Pyke,Gangplank / Sejuani,2,18,0.111111111111111,"Bilgewater,Shurima",TRUE,NEG,(1.4%-34.7%),0.000422404225462101
Akshan / Pyke,Lulu / Zed (DE/IO),4,21,0.19047619047619,"Bilgewater,Shurima",TRUE,NEG,(5.4%-41.9%),0.000422404225462101
Akshan / Pyke,Pyke / Rek'Sai,10,24,0.416666666666667,"Bilgewater,Shurima",FALSE,NEG,(22.1%-63.4%),0.000422404225462101
Akshan / Pyke,Swain / Twisted Fate,2,12,0.166666666666667,"Bilgewater,Shurima",TRUE,NEG,(2.1%-48.4%),0.000422404225462101
Akshan / Renekton (DE/SH),Akshan / Sivir (DE/SH),9,19,0.473684210526316,"Demacia,Shurima",FALSE,NEG,(24.4%-71.1%),0.000307633329468197
Akshan / Renekton (DE/SH),Azir / Irelia,7,16,0.4375,"Demacia,Shurima",FALSE,NEG,(19.8%-70.1%),0.000307633329468197
Akshan / Renekton (DE/SH),Gangplank / Sejuani,5,11,0.454545454545455,"Demacia,Shurima",FALSE,NEG,(16.7%-76.6%),0.000307633329468197
Akshan / Renekton (DE/SH),Lulu / Zed (DE/IO),10,16,0.625,"Demacia,Shurima",FALSE,POS,(35.4%-84.8%),0.000307633329468197
Akshan / Renekton (DE/SH),Pyke / Rek'Sai,10,15,0.666666666666667,"Demacia,Shurima",FALSE,POS,(38.4%-88.2%),0.000307633329468197
Akshan / Renekton (FR/SH),Azir / Irelia,6,16,0.375,"Freljord,Shurima",FALSE,NEG,(15.2%-64.6%),0.000307633329468197
Akshan / Renekton (FR/SH),Gangplank / Miss Fortune (BW/NX),5,12,0.416666666666667,"Freljord,Shurima",FALSE,NEG,(15.2%-72.3%),0.000307633329468197
Akshan / Renekton (FR/SH),Gangplank / Sejuani,7,18,0.388888888888889,"Freljord,Shurima",FALSE,NEG,(17.3%-64.3%),0.000307633329468197
Akshan / Renekton (FR/SH),Lulu / Zed (DE/IO),5,17,0.294117647058824,"Freljord,Shurima",FALSE,NEG,(10.3%-56.0%),0.000307633329468197
Akshan / Renekton (FR/SH),Pyke / Rek'Sai,6,12,0.5,"Freljord,Shurima",FALSE,NEG,(21.1%-78.9%),0.000307633329468197
Akshan / Renekton (MT/SH),Azir / Irelia,6,11,0.545454545454545,"MtTargon,Shurima",FALSE,POS,(23.4%-83.3%),0.000139618203374028
Akshan / Renekton (NX/SH),Draven / Ezreal,8,12,0.666666666666667,"Noxus,Shurima",FALSE,POS,(34.9%-90.1%),0.000275686791408038
Akshan / Renekton (NX/SH),Gangplank / Miss Fortune (BW/NX),9,14,0.642857142857143,"Noxus,Shurima",FALSE,POS,(35.1%-87.2%),0.000275686791408038
Akshan / Renekton (NX/SH),Gangplank / Sejuani,11,19,0.578947368421053,"Noxus,Shurima",FALSE,POS,(33.5%-79.7%),0.000275686791408038
