archetype_1,archetype_2,mu_win,mu_n,mu_wr,ci,ok_ci,direction,mirror,playrate_1,playrate_2
Trundle/Tryndamere (FR/IO),Garen/Jarvan IV (DE),13,30,0.433333333333333,(25.5% - 62.6%),FALSE,NEG,No,0.0057573426016821,0.0532753177151044
Maokai/Nautilus (BW/SI),Garen/Jarvan IV (DE),13,30,0.433333333333333,(25.5% - 62.6%),FALSE,NEG,No,0.00707065347165106,0.0532753177151044
Garen/Jarvan IV (DE),Trundle/Tryndamere (FR/IO),17,30,0.566666666666667,(37.4% - 74.5%),FALSE,POS,No,0.0532753177151044,0.0057573426016821
Garen/Jarvan IV (DE),Maokai/Nautilus (BW/SI),17,30,0.566666666666667,(37.4% - 74.5%),FALSE,POS,No,0.0532753177151044,0.00707065347165106
Annie/Swain (NX/PZ),Illaoi/Yuumi (BW/MT),0,1,0,(0.0% - 97.5%),FALSE,NEG,No,0.00112759014088244,0.000252049560903133
Norra/Zoe (BC/MT),Heimerdinger/Jayce (PZ/SI),0,1,0,(0.0% - 97.5%),FALSE,NEG,No,0.000451036056352976,0.0462577273089066
Irelia/Miss Fortune (BW/IO),Annie/Ezreal (NX/PZ),0,1,0,(0.0% - 97.5%),FALSE,NEG,No,0.000225518028176488,0.0100421851370354
Kayle/Leona (MT/NX),Garen/Jarvan IV (DE/FR),0,1,0,(0.0% - 97.5%),FALSE,NEG,No,0.0299673662147462,0.000623491019076172
Annie/Senna (NX/SI),Leona (MT/NX),0,1,0,(0.0% - 97.5%),FALSE,NEG,No,0.000477567589079621,0.000132657663633228
Ashe/Ezreal (FR/PZ),Leona (MT/NX),0,1,0,(0.0% - 97.5%),FALSE,NEG,No,0.000119391897269905,0.000132657663633228
Norra/Veigar (BC/SI),Miss Fortune/Renekton (BW/SH),0,1,0,(0.0% - 97.5%),FALSE,NEG,No,0.0105728157915683,0.00127351357087899
Norra/Veigar (BC/SI),Jayce/Kalista (PZ/SI),0,1,0,(0.0% - 97.5%),FALSE,NEG,No,0.0105728157915683,0.000132657663633228
Teemo/Tristana (BC/PZ),Maokai/Nautilus (BW/SI),0,1,0,(0.0% - 97.5%),FALSE,NEG,No,0.000198986495449842,0.00707065347165106
