archetype_1,archetype_2,mu_win,mu_n,mu_wr
Zilean (BC/SH),Yuumi/Zoe (FR/MT),1,1,1
Zilean (BC/SH),Akshan/Lee Sin (IO/SH),1,1,1
Championless (BC/SH),Fizz/Norra (BC/BW),1,1,1
Fizz/Norra (BC/BW),Championless (SI),1,1,1
Fizz/Norra (BC/BW),Katarina/Yasuo (IO/NX),1,1,1
Galio/Poppy (DE),Fizz/Norra (BC/BW),1,1,1
Fizz/Norra (BC/BW),Nasus/Thresh (SI/SH),1,1,1
Fizz/Norra (BC/BW),Kennen/Lee Sin (IO/PZ),1,1,1
Taliyah/Zilean (BC/SH),Fizz/Yuumi (BC/BW),1,1,1
Karma/Sett (FR/IO),Jax/Norra (BC/RU),1,1,1
Hecarim/Sion (NX/SI),Karma/Sett (IO/PZ),1,1,1
Soraka/Tahm Kench (BW/MT),Elise/Norra (BC/SI),1,1,1
Elise/Norra (BC/SI),Ezreal/Karma (IO/PZ),1,1,1
Elise/Norra (BC/SI),Akshan/Jack (BW/SH),1,1,1
Mordekaiser/Viego (SI/SH),Ezreal/Nilah (BW/PZ),1,1,1
Yuumi/Zoe (FR/MT),Darius/Miss Fortune (BW/NX),1,1,1
Yuumi/Zoe (FR/MT),Anivia/Mordekaiser/Vex (FR/SI),1,1,1
Yuumi/Zoe (FR/MT),Soraka/Tahm Kench (BW/MT),1,1,1
Hecarim/Zed (IO/SI),Jax (FR/RU),1,1,1
Championless (SI),Jax/Tristana (BC/RU),1,1,1
Darius/Riven (NX/SH),Nasus/Thresh (SI/SH),1,1,1
Braum/Morgana (FR/MT),Morgana/Udyr (DE/FR),1,1,1
Elder Dragon/Morgana/Shyvana (RU/DE),Evelynn/Maokai (RU/SI),1,1,1
Jinx/Lulu (BC/PZ),Evelynn (RU/SH),1,1,1
Lee Sin/Viktor (IO/PZ),Jack/Sett (BW/IO),1,1,1
Lee Sin/Viktor (IO/PZ),Kai'Sa/Lillia (IO/SH),1,1,1
Lillia/Taliyah (IO/SH),Aphelios/Vi (MT/PZ),1,1,1
The Poro King (MT/RU),Galio (DE),1,1,1
Kindred/Nasus (SI/SH),Vi/Volibear (FR/PZ),1,1,1
Ryze (IO/RU),Kayle (BW/MT),1,1,1
Elder Dragon/Morgana (RU/DE),Braum (FR/PZ),1,1,1
Azir/Hecarim (SI/SH),Elder Dragon/Morgana (RU/DE),1,1,1
Norra/Teemo (BC/IO),Elder Dragon/Morgana (RU/DE),1,1,1
Senna (PZ/SI),Maokai/Nautilus (BW/SI),1,1,1
Azir/Renekton (SH),Karma/Sett (IO/PZ),1,1,1
Heimerdinger/Jayce (PZ/SI),Karma/Sett (IO/PZ),1,1,1
Braum (FR/SI),Karma/Sett (IO/PZ),1,1,1
Morgana/Poppy (DE/MT),Miss Fortune/Vayne (BW/DE),1,1,1
Riven/Viktor (NX/PZ),Aatrox/Kayn (RU/RU),1,1,1
Taliyah/Zilean (IO/SH),Shyvana (DE/MT),1,1,1
Garen (DE),Miss Fortune/Vayne (BW/DE),1,1,1
Miss Fortune/Vayne (BW/DE),Championless (NX/PZ),1,1,1
Miss Fortune/Vayne (BW/DE),Janna/Nilah (BW/PZ),1,1,1
Taric/Udyr (FR/MT),Morgana/Udyr (DE/FR),1,1,1
Riven/Taric (MT/NX),Senna/Veigar (BC/SI),1,1,1
Braum/Galio (DE/FR),Akshan (FR/SH),1,1,1
Akshan (FR/SH),Janna/Nilah (BW/PZ),1,1,1
Elder Dragon/Mordekaiser/Viego (RU/SI),Azir/Elder Dragon (RU/SH),1,1,1
Heimerdinger/Jayce (PZ/SI),Ashe (FR/PZ),1,1,1
Elder Dragon/Mordekaiser/Viego (RU/SI),Heimerdinger/Kindred (PZ/SI),1,1,1
Azir/Irelia (IO/SH),Galio/Poppy (DE),1,1,1
Jayce/Katarina (NX/PZ),Azir/Irelia (IO/SH),1,1,1
Elder Dragon/Volibear (RU/FR),Braum/Morgana (FR/MT),1,1,1
Braum/Morgana (FR/MT),Aurelion Sol/Shyvana (DE/MT),1,1,1
Darius/Miss Fortune (BW/NX),Braum/Morgana (FR/MT),1,1,1
Braum/Morgana (FR/MT),Annie/Jhin (RU/NX),1,1,1
Braum/Morgana (FR/MT),Elise/Nocturne (NX/SI),1,1,1
Braum/Morgana (FR/MT),Aatrox/Morgana (RU/DE),1,1,1
Braum/Morgana (FR/MT),Darius/Sejuani (FR/NX),1,1,1
Zoe (MT/PZ),Miss Fortune (BW/NX),1,1,1
Gnar/Jhin (BC/RU),Zoe (MT/PZ),1,1,1
Ryze (IO/RU),Jinx (BC/PZ),1,1,1
Azir/Xerath (SH),Jinx (BC/PZ),1,1,1
Jinx (BC/PZ),Poppy (DE),1,1,1
Jinx (BC/PZ),Jinx/Katarina (NX/PZ),1,1,1
Jinx (BC/PZ),Nidalee (BC/SH),1,1,1
Jinx (BC/PZ),Janna/Norra (BC/PZ),1,1,1
Jinx (BC/PZ),Senna/Viego (PZ/SI),1,1,1
Jinx (BC/PZ),Seraphine/Viktor (BC/PZ),1,1,1
Kalista/Nasus (SI/SH),Jinx (BC/PZ),1,1,1
Jinx (BC/PZ),Braum/Galio (DE/FR),1,1,1
Jinx (BC/PZ),Hecarim/Zed (IO/SI),1,1,1
Illaoi (BW/MT),Viego (SI),1,1,1
Riven/Viktor (NX/PZ),Braum (FR/SI),1,1,1
Braum (FR/MT),Riven/Viktor (NX/PZ),1,1,1
Riven/Viktor (NX/PZ),Gnar/Gwen (FR/SI),1,1,1
Elise (FR/SI),Fizz/Zoe (BW/MT),1,1,1
Elder Dragon/Volibear (RU/FR),Ezreal (FR/PZ),1,1,1
Poppy/Zed (DE/IO),Elder Dragon/Volibear (RU/FR),1,1,1
Master Yi/Zilean (IO/SH),Poppy/Zed (DE/IO),1,1,1
Master Yi/Zilean (IO/SH),Championpile (DE/FR),1,1,1
Master Yi/Zilean (IO/SH),Championpile (FR/SH),1,1,1
Master Yi/Zilean (IO/SH),Master Yi/Nami (BW/IO),1,1,1
Master Yi/Zilean (IO/SH),Gwen (BW/SI),1,1,1
Master Yi/Zilean (IO/SH),Master Yi/Yasuo (IO/MT),1,1,1
Master Yi/Zilean (IO/SH),Ezreal/Lux (DE/PZ),1,1,1
Master Yi/Zilean (IO/SH),Braum/Zoe (FR/MT),1,1,1
Lulu/Neeko (BC/RU),Aatrox/Vayne (RU/DE),1,1,1
Gangplank/Thresh (BW/SI),Annie/Jhin (RU/NX),1,1,1
Trundle/Vi (FR/PZ),Annie/Jhin (RU/NX),1,1,1
Kayle/Morgana (DE/MT),Championless (SI),1,1,1
Gangplank/Gnar/Miss Fortune (BC/BW),Elder Dragon/Volibear (RU/FR),1,1,1
Lucian/Zed (DE/IO),Senna/Veigar (BC/SI),1,1,1
Kayle/Morgana (DE/MT),Ashe (FR/PZ),1,1,1
Kayle/Morgana (DE/MT),Rumble/Sion (BC/NX),1,1,1
Nidalee (BC/SH),Kayle/Morgana (DE/MT),1,1,1
Kayle/Morgana (DE/MT),Kayle (BW/MT),1,1,1
Riven/Taric (MT/NX),Udyr (FR/IO),1,1,1
Darius/Riven (NX/SH),Udyr (FR/IO),1,1,1
Udyr (FR/IO),Kayle (BW/MT),1,1,1
Caitlyn/Teemo (BW/PZ),Anivia/Volibear (BW/FR),1,1,1
Akshan/Samira (NX/SH),Caitlyn/Teemo (BW/PZ),1,1,1
Heimerdinger/Viktor (IO/PZ),Caitlyn/Teemo (BW/PZ),1,1,1
Ryze (IO/RU),Caitlyn/Teemo (BW/PZ),1,1,1
Elise/Samira (NX/SI),Caitlyn/Teemo (BW/PZ),1,1,1
Caitlyn/Teemo (BW/PZ),Hecarim/Zed (IO/SI),1,1,1
Lee Sin/Viktor (IO/PZ),Maokai (BW/SI),1,1,1
Elder Dragon/Neeko (RU/RU),Evelynn/Kai'Sa/Renekton (RU/SH),1,1,1
Elder Dragon/Morgana (RU/DE),Akshan/Mordekaiser (SI/SH),1,1,1
Akshan/Zoe (MT/SH),Morgana/Udyr (DE/FR),1,1,1
Akshan/Zoe (MT/SH),Championless (FR/SI),1,1,1
Illaoi (BW/IO),Rumble/Sion (BC/NX),1,1,1
Ashe/Elise (FR/SI),Championless (BC/PZ),1,1,1
Championless (BC/PZ),Rumble/Sion (BC/NX),1,1,1
Aatrox/Quinn/Vayne (RU/DE),Gwen (DE/SI),1,1,1
Aatrox/Quinn/Vayne (RU/DE),Jayce/Lux (DE/PZ),1,1,1
LeBlanc/Vladimir (FR/NX),Aatrox/Vayne (RU/DE),1,1,1
Ashe/LeBlanc (FR/NX),LeBlanc/Vladimir (FR/NX),1,1,1
Riven/Viktor (NX/PZ),Akshan/Nidalee (BC/SH),1,1,1
Akshan/Nidalee (BC/SH),Jack/Kayn (BW/RU),1,1,1
Garen/Morgana/Udyr (DE/FR),Aphelios/Viktor (MT/PZ),1,1,1
Jayce/Lux (DE/PZ),Akshan/Gwen/Kai'Sa (SI/SH),1,1,1
Caitlyn/Swain (NX/PZ),Braum/Lillia (FR/IO),1,1,1
Aphelios/Viktor (MT/PZ),Riven/Taric (MT/NX),1,1,1
Darius/Gnar/LeBlanc (FR/NX),Senna/Veigar (BC/SI),1,1,1
Darius/Gnar/LeBlanc (FR/NX),Braum/Lillia (FR/IO),1,1,1
Azir/Xerath (SH),The Poro King (FR/RU),1,1,1
Poppy/Zed (DE/IO),Azir/Xerath (SH),1,1,1
Azir/Xerath (SH),Riven/Viktor (NX/PZ),1,1,1
Gangplank/Gnar (BC/BW),Hecarim/Zed (IO/SI),1,1,1
Elder Dragon/Norra (RU/BC),Teemo (FR/PZ),1,1,1
Kindred/Shyvana (DE/SI),Gwen/Irelia/Zed (IO/SI),1,1,1
Kindred/Shyvana (DE/SI),Gangplank/Miss Fortune (BW/NX),1,1,1
Kindred/Shyvana (DE/SI),Annie/Jhin (RU/NX),1,1,1
Janna (PZ/SI),Kindred/Shyvana (DE/SI),1,1,1
Kindred/Shyvana (DE/SI),Norra/Poppy (BC),1,1,1
Evelynn/Kai'Sa/Renekton (RU/SH),Kindred/Shyvana (DE/SI),1,1,1
Maokai/Nautilus (BW/SI),Kindred/Shyvana (DE/SI),1,1,1
Kindred/Shyvana (DE/SI),Taliyah/Zilean (IO/SH),1,1,1
Garen/Poppy (DE),Kindred/Shyvana (DE/SI),1,1,1
Kindred/Shyvana (DE/SI),Akshan/Lee Sin (IO/SH),1,1,1
Kindred/Shyvana (DE/SI),Elise (FR/SI),1,1,1
Kindred/Shyvana (DE/SI),Braum/Yuumi/Zoe (FR/MT),1,1,1
Morgana/Udyr (DE/FR),Kindred/Shyvana (DE/SI),1,1,1
Draven/Rumble (NX/PZ),Kindred/Shyvana (DE/SI),1,1,1
Elder Dragon/Volibear (RU/FR),Kindred/Shyvana (DE/SI),1,1,1
Caitlyn/Teemo (BC/PZ),Kindred/Shyvana (DE/SI),1,1,1
Darius/Sejuani (FR/NX),Kindred/Shyvana (DE/SI),1,1,1
Kindred/Shyvana (DE/SI),Jack/Sett (BW/IO),1,1,1
Draven/Katarina (NX/SI),Swain/Yasuo (IO/NX),1,1,1
Heimerdinger/Jayce (PZ/SI),Draven/Katarina (NX/SI),1,1,1
Sett (IO/PZ),Karma/Sett (IO/PZ),1,1,1
Sett (IO/PZ),Elder Dragon (RU/FR),1,1,1
Azir/Xerath (SH),Anivia (DE/FR),1,1,1
Elder Dragon/Garen (RU/DE),Jinx/Sion (NX/PZ),1,1,1
Elder Dragon/Garen (RU/DE),Aurelion Sol/Shyvana (DE/MT),1,1,1
Elder Dragon/Garen (RU/DE),Bard/Norra (BC/RU),1,1,1
Braum/Lillia (FR/IO),Kalista (SI),1,1,1
Elder Dragon/Volibear (RU/FR),Lux: Illuminated/Shen (DE/IO),1,1,1
Galio/Jarvan IV/Udyr (DE/FR),Elder Dragon/Norra (RU/BC),1,1,1
Galio/Jarvan IV/Udyr (DE/FR),Aphelios/Zoe (MT),1,1,1
Galio/Jarvan IV/Udyr (DE/FR),Championpile (FR/SH),1,1,1
Galio/Jarvan IV/Udyr (DE/FR),Caitlyn/Teemo (FR/PZ),1,1,1
Galio/Jarvan IV/Udyr (DE/FR),Darius (FR/NX),1,1,1
Galio/Jarvan IV/Udyr (DE/FR),Ashe/Tahm Kench (BW/FR),1,1,1
Championless (PZ/SI),Championpile (MT/PZ),1,1,1
Championless (PZ/SI),Championpile (DE/FR),1,1,1
Kayle/Lux: Illuminated (DE/MT),Championless (BC/SH),1,1,1
Championless (BC/SH),Teemo (BW/PZ),1,1,1
Garen/Poppy (DE),Championless (BC/SH),1,1,1
Aatrox/Morgana (RU/DE),Championless (BC/SH),1,1,1
Championless (BC/SH),Jax/Ornn (FR/RU),1,1,1
Norra/Yuumi (BC/FR),Elder Dragon (RU/FR),1,1,1
Norra/Yuumi (BC/FR),Miss Fortune/Quinn (BW/DE),1,1,1
Norra/Yuumi (BC/FR),Lissandra/Mordekaiser (FR/SI),1,1,1
Norra/Yuumi (BC/FR),Kalista (PZ/SI),1,1,1
Riven/Viktor (NX/PZ),Jax/Tristana (BC/RU),1,1,1
Viktor/Zoe (MT/PZ),Janna (PZ/SI),1,1,1
Janna (PZ/SI),Elise (NX/SI),1,1,1
Janna (PZ/SI),Mordekaiser (BC/SI),1,1,1
Samira/Zoe (MT/NX),Kalista (PZ/SI),1,1,1
Samira/Zoe (MT/NX),Aurelion Sol/Shyvana (DE/MT),1,1,1
Yuumi/Zoe (FR/MT),Samira/Zoe (MT/NX),1,1,1
Teemo/Tristana (BC/NX),Mordekaiser/Norra (BC/SI),1,1,1
Akshan/Varus (SH/RU),Master Yi/Nami (BW/IO),1,1,1
Nilah/Twisted Fate (BW/PZ),Master Yi/Nami/Twisted Fate (BW/IO),1,1,1
Braum/Galio (DE/FR),Viktor/Zoe (MT/PZ),1,1,1
Taliyah/Zilean (IO/SH),Garen/Poppy (DE),1,1,1
Taliyah/Zilean (IO/SH),Garen/Neeko/Quinn (DE/RU),1,1,1
Janna/Mordekaiser (PZ/SI),Championless (SI),1,1,1
Championless (SI),Garen/Udyr (DE/FR),1,1,1
Gangplank/Thresh (BW/SI),Elder Dragon/Lissandra (RU/FR),1,1,1
Karma/Sett (FR/IO),Mordekaiser/Senna (SI/SH),1,1,1
Miss Fortune/Quinn (BW/DE),Elder Dragon/Lissandra (RU/FR),1,1,1
Gnar/Nidalee (BC/SH),Elder Dragon/Lissandra (RU/FR),1,1,1
Elder Dragon/Lissandra (RU/FR),Ezreal/Seraphine (BC/PZ),1,1,1
Elder Dragon/Lissandra (RU/FR),Master Yi/Yasuo (IO/MT),1,1,1
Rumble/Sion (BC/NX),Elder Dragon/Lissandra (RU/FR),1,1,1
Gnar/Gwen (FR/SI),Senna/Veigar (BC/SI),1,1,1
Gnar/Gwen (FR/SI),Aphelios/Lee Sin (IO/MT),1,1,1
Kayle (BW/MT),Gnar/Gwen (FR/SI),1,1,1
Darius/Riven (NX/SH),Gnar/Gwen (FR/SI),1,1,1
Janna/Sett (IO/PZ),Gnar/Gwen (FR/SI),1,1,1
Draven/Jinx (NX/PZ),Elder Dragon/Shyvana (RU/DE),1,1,1
Taliyah/Zilean (IO/SH),Galio/Udyr (DE/FR),1,1,1
Taliyah/Zilean (IO/SH),Kayle (DE/MT),1,1,1
Garen/Jarvan IV (DE/MT),Taliyah/Zilean (IO/SH),1,1,1
Renekton (BW/SH),Akshan/Morgana (DE/SH),1,1,1
Ezreal/Seraphine (BC/PZ),Aurelion Sol/Tryndamere (FR/MT),1,1,1
Lissandra/Tryndamere (FR/SI),Ezreal/Seraphine (BC/PZ),1,1,1
Championless (SI),Nasus (SI/SH),1,1,1
Championless (SI),Rek'Sai (SH),1,1,1
Championless (SI),Akshan/Morgana/Taliyah (DE/SH),1,1,1
Aatrox/Kayn (RU/RU),Miss Fortune/Poppy (BW/DE),1,1,1
Ezreal/Kennen (IO/PZ),Aurelion Sol/Shyvana (DE/MT),1,1,1
Gnar/Teemo (BC/PZ),Ezreal/Kennen (IO/PZ),1,1,1
Azir (MT/SH),Ezreal/Kennen (IO/PZ),1,1,1
Irelia/Miss Fortune (BW/IO),Twisted Fate (BW/PZ),1,1,1
Draven/Rumble (DE/NX),Elder Dragon/Norra (RU/BC),1,1,1
Volibear (DE/FR),Irelia/Miss Fortune (BW/IO),1,1,1
Irelia/Miss Fortune (BW/IO),Master Yi/Riven (IO/NX),1,1,1
Caitlyn (BC/PZ),Irelia/Miss Fortune (BW/IO),1,1,1
Shyvana (DE/MT),Maokai/Nautilus (BW/SI),1,1,1
Ahri/Kennen (BC/IO),Braum (FR/NX),1,1,1
Akshan/Udyr (FR/SH),Ahri (IO/SH),1,1,1
Jinx/Lulu (BC/PZ),Ahri (IO/SH),1,1,1
Ashe/Braum (FR/SI),Ahri/Kennen (BC/IO),1,1,1
Mordekaiser/Norra (BC/SI),Lux: Illuminated/Taric (DE/MT),1,1,1
Karma/Sett (FR/IO),Fizz/Lulu (BC/PZ),1,1,1
Mordekaiser/Norra (BC/SI),Braum/Poppy (DE/FR),1,1,1
Akshan/Lee Sin (IO/SH),Galio/Soraka (DE/MT),1,1,1
Elder Dragon/Mordekaiser/Viego (RU/SI),Darius (FR/NX),1,1,1
Bard/Norra (BC/RU),Kayle/Zed (IO/MT),1,1,1
Senna/Veigar (BC/SI),Norra/Teemo (BC/BW),1,1,1
Swain/Twisted Fate (BW/NX),Norra/Teemo (BC/BW),1,1,1
Bard/Norra (BC/RU),Lissandra (FR/SI),1,1,1
Bard/Norra (BC/RU),Kalista/Nasus (SI/SH),1,1,1
Poppy/Ziggs (BC/NX),Nocturne/Vex (SI),1,1,1
Ashe/Vex (BC/FR),Annie/Jhin (RU/NX),1,1,1
Ashe/Vex (BC/FR),Karma/Sett (FR/IO),1,1,1
Ashe (FR/NX),Ashe/Vex (BC/FR),1,1,1
Ashe/Vex (BC/FR),Jack/Sett (BW/IO),1,1,1
Azir/Hecarim (SI/SH),Ezreal/Jhin (RU/PZ),1,1,1
Ezreal/Jhin (RU/PZ),Bard/Mordekaiser (RU/SI),1,1,1
Fiora (DE/FR),Ezreal/Jhin (RU/PZ),1,1,1
Ezreal/Jhin (RU/PZ),Gangplank/Sejuani (BW/FR),1,1,1
Ezreal/Jhin (RU/PZ),Akshan/Taliyah/Zilean (IO/SH),1,1,1
Akshan/Master Yi (IO/SH),Kalista (MT/SI),1,1,1
Akshan/Master Yi (IO/SH),Fizz/Nautilus/Twisted Fate (BW/IO),1,1,1
Braum/Elder Dragon (RU/FR),Akshan/Master Yi (IO/SH),1,1,1
Gnar/Gwen (FR/SI),Swain/Vladimir (BW/NX),1,1,1
Ezreal (PZ/SI),Fiora (DE/FR),1,1,1
Ezreal (PZ/SI),Lux: Illuminated/Shen (DE/IO),1,1,1
Championless (PZ/SI),Kayle (FR/MT),1,1,1
Championless (PZ/SI),Fiora/Tahm Kench (BW/DE),1,1,1
Championless (PZ/SI),Akshan/Elder Dragon (RU/SH),1,1,1
Morgana/Udyr (DE/FR),Lillia (IO/MT),1,1,1
Ashe/LeBlanc (FR/NX),Galio/Poppy (DE/IO),1,1,1
Maokai (BW/SI),Karma (IO/SI),1,1,1
Maokai (BW/SI),Mordekaiser/Viego (NX/SI),1,1,1
Hecarim/Zed (IO/SI),Maokai (BW/SI),1,1,1
Maokai (BW/SI),Kalista/Nasus (SI/SH),1,1,1
Maokai (BW/SI),Norra/Swain (BC/NX),1,1,1
Maokai (BW/SI),Kalista (PZ/SI),1,1,1
Maokai (BW/SI),Kayle/Zed (IO/MT),1,1,1
Janna/Mordekaiser (PZ/SI),Maokai (BW/SI),1,1,1
Senna (SI/SH),Championpile (DE/FR),1,1,1
Championpile (DE/FR),Garen/Poppy (DE/SH),1,1,1
Championpile (DE/FR),Lux: Illuminated/Taric (DE/MT),1,1,1
Hecarim (IO/SI),Championpile (DE/FR),1,1,1
Taliyah/Zilean (IO/SH),Elise (FR/SI),1,1,1
Taliyah/Zilean (IO/SH),Championless (BC/PZ),1,1,1
Taliyah/Zilean (IO/SH),Galio/Jarvan IV (DE),1,1,1
Taliyah/Zilean (IO/SH),Ashe/Braum (FR),1,1,1
Nidalee/Taliyah (BC/SH),Taliyah/Zilean (IO/SH),1,1,1
Championless (PZ/SI),Nidalee/Taliyah (BC/SH),1,1,1
Lissandra/Yuumi (BC/FR),Championless (PZ/SI),1,1,1
Championless (PZ/SI),Braum/Karma (FR/IO),1,1,1
Lulu/Poppy/Ziggs (BC/NX),Hecarim/Zed (IO/SI),1,1,1
Lulu/Poppy/Ziggs (BC/NX),Heimerdinger/Jayce (PZ/SI),1,1,1
Lulu/Poppy/Ziggs (BC/NX),Elder Dragon/Volibear (RU/FR),1,1,1
Ziggs (BC/SH),Jinx (BC/PZ),1,1,1
Ziggs (BC/SH),Janna/Seraphine/Twisted Fate (BW/PZ),1,1,1
Fizz/Zoe (BW/MT),Elder Dragon/Morgana/Shyvana (RU/DE),1,1,1
Vayne/Zed (DE/IO),Senna/Veigar (BC/SI),1,1,1
Garen (DE/SI),Senna/Veigar (BC/SI),1,1,1
Senna/Veigar (BC/SI),Jinx/Lulu (IO/PZ),1,1,1
Senna/Veigar (BC/SI),Gnar (FR/NX),1,1,1
Jayce/Swain (NX/PZ),Garen/Lucian (DE),1,1,1
Nasus/Thresh (SI/SH),Braum (FR/MT),1,1,1
Braum (FR/MT),Morgana/Udyr (DE/FR),1,1,1
