archetype_1,archetype_2,mu_win,mu_n,mu_wr
Lux: Illuminated/Vex (BC/DE),Elder Dragon/Morgana/Shyvana (RU/DE),220,839,0.262216924910608
Elder Dragon/Morgana/Shyvana (RU/DE),Lux: Illuminated/Vex (BC/DE),619,839,0.737783075089392
Elder Dragon/Morgana/Shyvana (RU/DE),Elder Dragon/Garen (RU/DE),82,113,0.725663716814159
Elder Dragon/Garen (RU/DE),Elder Dragon/Morgana/Shyvana (RU/DE),31,113,0.274336283185841
Gwen/Illaoi (BW/SI),Elder Dragon/Morgana/Shyvana (RU/DE),1,6,0.166666666666667
Jinx (BC/PZ),Elder Dragon/Shyvana (RU/DE),1,6,0.166666666666667
Jax/Norra (BC/RU),Elder Dragon/Morgana/Shyvana (RU/DE),1,6,0.166666666666667
The Poro King (MT/RU),Caitlyn/Teemo (FR/PZ),1,6,0.166666666666667
Elder Dragon/Master Yi (RU/IO),Annie/Jhin (RU/NX),1,6,0.166666666666667
Mordekaiser (FR/SI),Jack/Sett (BW/IO),1,6,0.166666666666667
Vex/Viego (BC/SI),Jack/Sett (BW/IO),1,6,0.166666666666667
Evelynn/Viego (RU/SI),Azir/Hecarim (SI/SH),1,6,0.166666666666667
Ashe/Vex (FR/SI),Elder Dragon (RU/FR),1,6,0.166666666666667
Fiora (DE/SH),Vex/Viego (BC/SI),1,6,0.166666666666667
Fiora/Taric (DE/MT),Elder Dragon/Norra (RU/BC),1,6,0.166666666666667
Gnar/Teemo (BC/PZ),Elder Dragon/Morgana/Shyvana (RU/DE),1,6,0.166666666666667
Aphelios/Master Yi (IO/MT),Caitlyn/Teemo (FR/PZ),1,6,0.166666666666667
Tristana/Vex (BC/DE),Hecarim (IO/SI),1,6,0.166666666666667
Lillia/Norra (BC/IO),Aurelion Sol/Elder Dragon (RU/MT),1,6,0.166666666666667
Elder Dragon/Galio/Morgana (RU/DE),Fiora (DE/SH),1,6,0.166666666666667
Gwen (IO/SI),Lux: Illuminated/Vex (BC/DE),1,6,0.166666666666667
Nidalee (BC/SH),Janna/Norra (BC/PZ),1,6,0.166666666666667
Elder Dragon/Viego (RU/SI),Hecarim (IO/SI),1,6,0.166666666666667
Caitlyn/Vex (PZ/SI),Jayce/Vex (PZ/SI),1,6,0.166666666666667
Mordekaiser/Nasus (SI/SH),Caitlyn/Teemo (FR/PZ),1,6,0.166666666666667
Aurelion Sol/Shyvana (DE/MT),Elder Dragon/Volibear (RU/FR),1,6,0.166666666666667
Lux: Illuminated/Vex (BC/DE),Elder Dragon/Lissandra (RU/FR),1,6,0.166666666666667
Norra/Vex (BC/SI),Gnar/Vayne (DE/FR),1,6,0.166666666666667
