archetype_1,archetype_2,mu_win,mu_n,mu_wr,ci,ok_ci,direction,mirror,playrate_1,playrate_2
Ezreal/Seraphine (BC/PZ),Ezreal/Seraphine (BC/PZ),2,4,0.5,(6.8% - 93.2%),FALSE,TIE,Yes,0.00590961157971467,0.00590961157971467
Katarina/Leona (MT/NX),Illaoi/Twisted Fate (BW/IO),2,4,0.5,(6.8% - 93.2%),FALSE,TIE,No,0.00822659585546183,0.0174424658960741
Illaoi/Twisted Fate (BW/IO),Katarina/Leona (MT/NX),2,4,0.5,(6.8% - 93.2%),FALSE,TIE,No,0.0174424658960741,0.00822659585546183
Illaoi/Jarvan IV (BW/DE),Teemo/Tristana (BC/SI),2,4,0.5,(6.8% - 93.2%),FALSE,TIE,No,0.0028116213683224,0.0413933145891909
Teemo/Tristana (BC/SI),Illaoi/Jarvan IV (BW/DE),2,4,0.5,(6.8% - 93.2%),FALSE,TIE,No,0.0413933145891909,0.0028116213683224
Jayce/Lux (DE/PZ),Trundle/Tryndamere (FR/SI),2,4,0.5,(6.8% - 93.2%),FALSE,TIE,No,0.00335832552327398,0.015281682807456
Trundle/Tryndamere (FR/SI),Jayce/Lux (DE/PZ),2,4,0.5,(6.8% - 93.2%),FALSE,TIE,No,0.015281682807456,0.00335832552327398
Gwen/Zed (IO/SI),Kalista/Nocturne (NX/SI),2,4,0.5,(6.8% - 93.2%),FALSE,TIE,No,0.00419139852129543,0.0313964386129335
Kalista/Nocturne (NX/SI),Gwen/Zed (IO/SI),2,4,0.5,(6.8% - 93.2%),FALSE,TIE,No,0.0313964386129335,0.00419139852129543
Malphite/Taliyah (MT/SH),Kalista/Nocturne (NX/SI),2,4,0.5,(6.8% - 93.2%),FALSE,TIE,No,0.00265542018119338,0.0313964386129335
Kalista/Nocturne (NX/SI),Malphite/Taliyah (MT/SH),2,4,0.5,(6.8% - 93.2%),FALSE,TIE,No,0.0313964386129335,0.00265542018119338
Illaoi/Twisted Fate (BW/IO),Annie/Twisted Fate (BW/NX),2,4,0.5,(6.8% - 93.2%),FALSE,TIE,No,0.0174424658960741,0.00382692908466104
Annie/Twisted Fate (BW/NX),Illaoi/Twisted Fate (BW/IO),2,4,0.5,(6.8% - 93.2%),FALSE,TIE,No,0.00382692908466104,0.0174424658960741
Gangplank/Sejuani (BW/FR),Anivia (FR/SI),2,4,0.5,(6.8% - 93.2%),FALSE,TIE,No,0.00991877538269291,0.00687285223367698
Anivia (FR/SI),Gangplank/Sejuani (BW/FR),2,4,0.5,(6.8% - 93.2%),FALSE,TIE,No,0.00687285223367698,0.00991877538269291
Gwen/Zed (IO/SI),Kayle/Leona (MT/NX),2,4,0.5,(6.8% - 93.2%),FALSE,TIE,No,0.00419139852129543,0.0180152035822139
Kayle/Leona (MT/NX),Gwen/Zed (IO/SI),2,4,0.5,(6.8% - 93.2%),FALSE,TIE,No,0.0180152035822139,0.00419139852129543
Kai'Sa (DE/SH),Miss Fortune/Twisted Fate (BW/NX),2,4,0.5,(6.8% - 93.2%),FALSE,TIE,No,0.00187441424554827,0.0487608039154431
Miss Fortune/Twisted Fate (BW/NX),Kai'Sa (DE/SH),2,4,0.5,(6.8% - 93.2%),FALSE,TIE,No,0.0487608039154431,0.00187441424554827
Taliyah/Ziggs (BC/SH),LeBlanc/Sivir (NX/SH),2,4,0.5,(6.8% - 93.2%),FALSE,TIE,No,0.00950223888368218,0.00807039466833281
LeBlanc/Sivir (NX/SH),Taliyah/Ziggs (BC/SH),2,4,0.5,(6.8% - 93.2%),FALSE,TIE,No,0.00807039466833281,0.00950223888368218
