deck_code,archetype,archetype_self,factions,patch,cards,cards.region,champs,champs.region,allegiance,cards.fix,cards.region.fix,cards.region.freq,archetype_pretty,archetype_cluster,alle,alle.region
CQCQCAQCBIAQIAQPAECQUOQEAUBACBAHCUCQCAQIBQITEOICAEAQEAQBAUBBOAA,Ahri/Kennen (IO),x/recall/elusive/allegiance,IO,221,02IO010 02IO010 02IO010 04IO015 04IO015 04IO015 05BC058 05BC058 05BC058 05IO001 05IO001 05IO001 05IO004 05IO004 05IO004 05IO007 05IO007 05IO007 05IO021 05IO021 05IO021 01IO008 01IO008 01IO008 01IO012 01IO012 01IO012 01IO017 01IO017 01IO017 01IO050 01IO050 01IO050 01IO057 01IO057 01IO057 01IO002 01IO002 05IO023 05IO023,IO,"Ahri,Kennen","BC,IO","01IO050,01IO050,01IO050",02IO010 02IO010 02IO010 04IO015 04IO015 04IO015 05IO058 05IO058 05IO058 05IO001 05IO001 05IO001 05IO004 05IO004 05IO004 05IO007 05IO007 05IO007 05IO021 05IO021 05IO021 01IO008 01IO008 01IO008 01IO012 01IO012 01IO012 01IO017 01IO017 01IO017 01IO050 01IO050 01IO050 01IO057 01IO057 01IO057 01IO002 01IO002 05IO023 05IO023,IO,40,,,01IO050,IO
CQCQCAQCBIAQIAQPAECQUOQEAUBACBAVDIDACAQGBQISYMRZAAAQCAICCY,Ahri/Kennen (IO),x/recall/elusive/allegiance/cost1,IO,221,02IO010 02IO010 02IO010 04IO015 04IO015 04IO015 05BC058 05BC058 05BC058 05IO001 05IO001 05IO001 05IO004 05IO004 05IO004 05IO021 05IO021 05IO021 05IO026 05IO026 05IO026 01IO006 01IO006 01IO006 01IO012 01IO012 01IO012 01IO017 01IO017 01IO017 01IO044 01IO044 01IO044 01IO050 01IO050 01IO050 01IO057 01IO057 01IO057 01IO022,IO,"Ahri,Kennen","BC,IO","01IO050,01IO050,01IO050",02IO010 02IO010 02IO010 04IO015 04IO015 04IO015 05IO058 05IO058 05IO058 05IO001 05IO001 05IO001 05IO004 05IO004 05IO004 05IO021 05IO021 05IO021 05IO026 05IO026 05IO026 01IO006 01IO006 01IO006 01IO012 01IO012 01IO012 01IO017 01IO017 01IO017 01IO044 01IO044 01IO044 01IO050 01IO050 01IO050 01IO057 01IO057 01IO057 01IO022,IO,40,,,01IO050,IO
CQCQCAQCBIAQKCR2AIBQEBIUAICQEBAVAUAQECYMFQZDSAQBAEBAQAIEAIHQEAICAIEAEAICAIYQ,Ahri/Kennen (IO),x/recall/elusive/allegiance,IO,221,02IO010 02IO010 02IO010 05BC058 05BC058 05BC058 03IO005 03IO005 03IO005 03IO020 03IO020 03IO020 05IO004 05IO004 05IO004 05IO021 05IO021 05IO021 01IO011 01IO011 01IO011 01IO012 01IO012 01IO012 01IO044 01IO044 01IO044 01IO050 01IO050 01IO050 01IO057 01IO057 01IO057 01IO008 01IO008 04IO015 04IO015 02IO008 01IO002 01IO049,IO,"Ahri,Kennen","BC,IO","01IO050,01IO050,01IO050",02IO010 02IO010 02IO010 05IO058 05IO058 05IO058 03IO005 03IO005 03IO005 03IO020 03IO020 03IO020 05IO004 05IO004 05IO004 05IO021 05IO021 05IO021 01IO011 01IO011 01IO011 01IO012 01IO012 01IO012 01IO044 01IO044 01IO044 01IO050 01IO050 01IO050 01IO057 01IO057 01IO057 01IO008 01IO008 04IO015 04IO015 02IO008 01IO002 01IO049,IO,40,,,01IO050,IO
CQCQCAQCBIAQKCR2AIBQEBIUAMCQEBAVC4DACAQLBQWDCMRZAAAQCBICA4,Ahri/Kennen (IO),x/recall/elusive/allegiance,IO,221,02IO010 02IO010 02IO010 05BC058 05BC058 05BC058 03IO005 03IO005 03IO005 03IO020 03IO020 03IO020 05IO004 05IO004 05IO004 05IO021 05IO021 05IO021 05IO023 05IO023 05IO023 01IO011 01IO011 01IO011 01IO012 01IO012 01IO012 01IO044 01IO044 01IO044 01IO049 01IO049 01IO049 01IO050 01IO050 01IO050 01IO057 01IO057 01IO057 05IO007,IO,"Ahri,Kennen","BC,IO","01IO050,01IO050,01IO050",02IO010 02IO010 02IO010 05IO058 05IO058 05IO058 03IO005 03IO005 03IO005 03IO020 03IO020 03IO020 05IO004 05IO004 05IO004 05IO021 05IO021 05IO021 05IO023 05IO023 05IO023 01IO011 01IO011 01IO011 01IO012 01IO012 01IO012 01IO044 01IO044 01IO044 01IO049 01IO049 01IO049 01IO050 01IO050 01IO050 01IO057 01IO057 01IO057 05IO007,IO,40,,,01IO050,IO
CQCQCAQCBIAQKCR2AIBQEBIUAQCQEBAHCULQKAICBMGCYMJSAAAQCBACCQ,Ahri/Kennen (IO),x/recall/elusive/allegiance,IO,221,02IO010 02IO010 02IO010 05BC058 05BC058 05BC058 03IO005 03IO005 03IO005 03IO020 03IO020 03IO020 05IO004 05IO004 05IO004 05IO007 05IO007 05IO007 05IO021 05IO021 05IO021 05IO023 05IO023 05IO023 01IO011 01IO011 01IO011 01IO012 01IO012 01IO012 01IO044 01IO044 01IO044 01IO049 01IO049 01IO049 01IO050 01IO050 01IO050 04IO020,IO,"Ahri,Kennen","BC,IO","01IO050,01IO050,01IO050",02IO010 02IO010 02IO010 05IO058 05IO058 05IO058 03IO005 03IO005 03IO005 03IO020 03IO020 03IO020 05IO004 05IO004 05IO004 05IO007 05IO007 05IO007 05IO021 05IO021 05IO021 05IO023 05IO023 05IO023 01IO011 01IO011 01IO011 01IO012 01IO012 01IO012 01IO044 01IO044 01IO044 01IO049 01IO049 01IO049 01IO050 01IO050 01IO050 04IO020,IO,40,,,01IO050,IO
CQCQCAQCBIAQKCR2AICAECIPAQAQECALBQZAIBICAICBKGQBAEBQEFACAEBQEBQBAUBBS,Ahri/Kennen (IO),x/recall/elusive/allegiance,IO,221,02IO010 02IO010 02IO010 05BC058 05BC058 05BC058 04IO009 04IO009 04IO009 04IO015 04IO015 04IO015 01IO008 01IO008 01IO008 01IO011 01IO011 01IO011 01IO012 01IO012 01IO012 01IO050 01IO050 01IO050 05IO002 05IO002 05IO002 05IO004 05IO004 05IO004 05IO021 05IO021 05IO021 05IO026 05IO026 05IO026 03IO020 03IO020 03IO006 05IO025,IO,"Ahri,Kennen","BC,IO","01IO050,01IO050,01IO050",02IO010 02IO010 02IO010 05IO058 05IO058 05IO058 04IO009 04IO009 04IO009 04IO015 04IO015 04IO015 01IO008 01IO008 01IO008 01IO011 01IO011 01IO011 01IO012 01IO012 01IO012 01IO050 01IO050 01IO050 05IO002 05IO002 05IO002 05IO004 05IO004 05IO004 05IO021 05IO021 05IO021 05IO026 05IO026 05IO026 03IO020 03IO020 03IO006 05IO025,IO,40,,,01IO050,IO
CQCQCAYCAUAQIAQPAECQUOQBAUBAIBIBAIFQYEIUDICACAYCAYAQIAQHAECQEFYDAEBAQLBZAEAQCARG,Ahri/Kennen (IO),x/recall/elusive/allegiance/cost1,IO,221,03IO005 03IO005 03IO005 04IO015 04IO015 04IO015 05BC058 05BC058 05BC058 05IO004 05IO004 05IO004 01IO011 01IO011 01IO011 01IO012 01IO012 01IO012 01IO017 01IO017 01IO017 01IO020 01IO020 01IO020 01IO026 01IO026 01IO026 03IO006 03IO006 04IO007 04IO007 05IO023 05IO023 01IO008 01IO008 01IO044 01IO044 01IO057 01IO057 01IO038,IO,"Ahri,Kennen","BC,IO",,03IO005 03IO005 03IO005 04IO015 04IO015 04IO015 05IO058 05IO058 05IO058 05IO004 05IO004 05IO004 01IO011 01IO011 01IO011 01IO012 01IO012 01IO012 01IO017 01IO017 01IO017 01IO020 01IO020 01IO020 01IO026 01IO026 01IO026 03IO006 03IO006 04IO007 04IO007 05IO023 05IO023 01IO008 01IO008 01IO044 01IO044 01IO057 01IO057 01IO038,IO,40,,,,
CQCQCAYCAUAQIAQPAECQUOQCAEBAYMQCAUBAIGQEAEBQEFACAIBAKCQCAUBAOGIDAEBAELBZAIAQKAQVAIBQEBQW,Ahri/Kennen (IO),x/recall/elusive/allegiance,IO,221,03IO005 03IO005 03IO005 04IO015 04IO015 04IO015 05BC058 05BC058 05BC058 01IO012 01IO012 01IO012 01IO050 01IO050 01IO050 05IO004 05IO004 05IO004 05IO026 05IO026 05IO026 03IO020 03IO020 02IO005 02IO005 02IO010 02IO010 05IO007 05IO007 05IO025 05IO025 01IO002 01IO002 01IO044 01IO044 01IO057 01IO057 05IO021 03IO006 03IO022,IO,"Ahri,Kennen","BC,IO","01IO050,01IO050,01IO050",03IO005 03IO005 03IO005 04IO015 04IO015 04IO015 05IO058 05IO058 05IO058 01IO012 01IO012 01IO012 01IO050 01IO050 01IO050 05IO004 05IO004 05IO004 05IO026 05IO026 05IO026 03IO020 03IO020 02IO005 02IO005 02IO010 02IO010 05IO007 05IO007 05IO025 05IO025 01IO002 01IO002 01IO044 01IO044 01IO057 01IO057 05IO021 03IO006 03IO022,IO,40,,,01IO050,IO
CQCQCAYCAUAQIAQPAECQUOQCAUBAIFIGAEBAMCYMFQZDSAYBAEBDCAICAICQCBICDIAQCAYCCQ,Ahri/Kennen (IO),x/recall/elusive/allegiance,IO,221,03IO005 03IO005 03IO005 04IO015 04IO015 04IO015 05BC058 05BC058 05BC058 05IO004 05IO004 05IO004 05IO021 05IO021 05IO021 01IO006 01IO006 01IO006 01IO011 01IO011 01IO011 01IO012 01IO012 01IO012 01IO044 01IO044 01IO044 01IO050 01IO050 01IO050 01IO057 01IO057 01IO057 01IO049 01IO049 02IO005 02IO005 05IO026 05IO026 03IO020,IO,"Ahri,Kennen","BC,IO","01IO050,01IO050,01IO050",03IO005 03IO005 03IO005 04IO015 04IO015 04IO015 05IO058 05IO058 05IO058 05IO004 05IO004 05IO004 05IO021 05IO021 05IO021 01IO006 01IO006 01IO006 01IO011 01IO011 01IO011 01IO012 01IO012 01IO012 01IO044 01IO044 01IO044 01IO050 01IO050 01IO050 01IO057 01IO057 01IO057 01IO049 01IO049 02IO005 02IO005 05IO026 05IO026 03IO020,IO,40,,,01IO050,IO
CQCQCAYCAUAQIAQPAECQUOQCAUBAIGQDAEBAYMRZAQAQGAQUAIAQECZRAICQEBYVAMBAEBIJBIAA,Ahri/Kennen (IO),x/recall/elusive/allegiance,IO,221,03IO005 03IO005 03IO005 04IO015 04IO015 04IO015 05BC058 05BC058 05BC058 05IO004 05IO004 05IO004 05IO026 05IO026 05IO026 01IO012 01IO012 01IO012 01IO050 01IO050 01IO050 01IO057 01IO057 01IO057 03IO020 03IO020 01IO011 01IO011 01IO049 01IO049 05IO007 05IO007 05IO021 05IO021 02IO005 02IO005 02IO009 02IO009 02IO010 02IO010,IO,"Ahri,Kennen","BC,IO","01IO050,01IO050,01IO050",03IO005 03IO005 03IO005 04IO015 04IO015 04IO015 05IO058 05IO058 05IO058 05IO004 05IO004 05IO004 05IO026 05IO026 05IO026 01IO012 01IO012 01IO012 01IO050 01IO050 01IO050 01IO057 01IO057 01IO057 03IO020 03IO020 01IO011 01IO011 01IO049 01IO049 05IO007 05IO007 05IO021 05IO021 02IO005 02IO005 02IO009 02IO009 02IO010 02IO010,IO,40,,,01IO050,IO
