deck,nBan,maxBan,factions,nWin,nGames,WR,n,playrate,meanBan,lplayrate,lWR,PR_ind,WR_ind,lWR_ind,meanBan_ind,WIN_ind,str_dim,LMI,tooltip,tooltip_mini,tier
Lulu/Zed (DE/IO),131,323,"faction_Demacia_Name,faction_Ionia_Name",150,292,0.513698630136986,75,0.0395361096468108,0.405572755417957,0.0044005205791443,0.508317929759704,0.764705882352941,0.647058823529412,0.607843137254902,0.862745098039216,0.637254901960784,0.833333333333333,0.862745098039216,"Lulu/Zed (DE/IO)
LMI 86.3
WinRate 51.4%
PlayRate 4.0%
BanRate 40.6%","Lulu/Zed (DE/IO)
LMI 86.3",Tier1
Lissandra/Taliyah,70,234,"faction_Freljord_Name,faction_Shurima_Name",128,253,0.505928853754941,53,0.0279388508170796,0.299145299145299,0.0143484626647145,0.503968253968254,0.696078431372549,0.568627450980392,0.568627450980392,0.529411764705882,0.549019607843137,0.549019607843137,0.705882352941177,"Lissandra/Taliyah
LMI 70.6
WinRate 50.6%
PlayRate 2.8%
BanRate 29.9%","Lissandra/Taliyah
LMI 70.6",Tier2
Gangplank/Miss Fortune (BW/NX),33,181,"faction_Bilgewater_Name,faction_Noxus_Name",107,249,0.429718875502008,53,0.0279388508170796,0.18232044198895,0.00401822027005043,0.497975708502024,0.696078431372549,0.274509803921569,0.470588235294118,0.0784313725490196,0.352941176470588,0.137254901960784,0.392156862745098,"Gangplank/Miss Fortune (BW/NX)
LMI 39.2
WinRate 43.0%
PlayRate 2.8%
BanRate 18.2%","Gangplank/Miss Fortune (BW/NX)
LMI 39.2",Tier3
Fizz/Lulu/Poppy (BC/NX),104,250,"faction_BandleCity_Name,faction_Noxus_Name",108,232,0.46551724137931,51,0.0268845545598313,0.416,0.00794696599967464,0.534288638689867,0.656862745098039,0.411764705882353,0.823529411764706,0.901960784313725,0.598039215686275,0.833333333333333,0.823529411764706,"Fizz/Lulu/Poppy (BC/NX)
LMI 82.4
WinRate 46.6%
PlayRate 2.7%
BanRate 41.6%","Fizz/Lulu/Poppy (BC/NX)
LMI 82.4",Tier2
Fizz/Nami (BW/MT),75,220,"faction_Bilgewater_Name,faction_MtTargon_Name",125,227,0.550660792951542,43,0.0226673695308382,0.340909090909091,0.00113876687815194,0.514285714285714,0.607843137254902,0.843137254901961,0.686274509803922,0.647058823529412,0.823529411764706,0.784313725490196,0.784313725490196,"Fizz/Nami (BW/MT)
LMI 78.4
WinRate 55.1%
PlayRate 2.3%
BanRate 34.1%","Fizz/Nami (BW/MT)
LMI 78.4",Tier2
Poppy/Zed (DE/IO),101,238,"faction_Demacia_Name,faction_Ionia_Name",113,216,0.523148148148148,50,0.0263574064312072,0.42436974789916,0.013624532292175,0.573134328358209,0.627450980392157,0.705882352941177,0.980392156862745,0.92156862745098,0.901960784313725,0.96078431372549,0.843137254901961,"Poppy/Zed (DE/IO)
LMI 84.3
WinRate 52.3%
PlayRate 2.6%
BanRate 42.4%","Poppy/Zed (DE/IO)
LMI 84.3",Tier2
Ezreal/Karma,50,190,"faction_Ionia_Name,faction_Piltover_Name",96,210,0.457142857142857,51,0.0268845545598313,0.263157894736842,0.00531153408166585,0.445635528330781,0.656862745098039,0.372549019607843,0.176470588235294,0.392156862745098,0.264705882352941,0.274509803921569,0.490196078431373,"Ezreal/Karma
LMI 49
WinRate 45.7%
PlayRate 2.7%
BanRate 26.3%","Ezreal/Karma
LMI 49",Tier3
Gangplank/Miss Fortune/Twisted Fate (BC/BW),24,124,"faction_BandleCity_Name,faction_Bilgewater_Name",75,165,0.454545454545455,34,0.0179230363732209,0.193548387096774,0.00601919635594599,0.539189189189189,0.588235294117647,0.352941176470588,0.862745098039216,0.137254901960784,0.568627450980392,0.313725490196078,0.450980392156863,"Gangplank/Miss Fortune/Twisted Fate (BC/BW)
LMI 45.1
WinRate 45.5%
PlayRate 1.8%
BanRate 19.4%","Gangplank/Miss Fortune/Twisted Fate (BC/BW)
LMI 45.1",Tier3
Aurelion Sol/Thresh,20,96,"faction_MtTargon_Name,faction_ShadowIsles_Name",59,138,0.427536231884058,23,0.0121244069583553,0.208333333333333,0.00222872946152595,0.478102189781022,0.529411764705882,0.254901960784314,0.372549019607843,0.196078431372549,0.303921568627451,0.215686274509804,0.323529411764706,"Aurelion Sol/Thresh
LMI 32.4
WinRate 42.8%
PlayRate 1.2%
BanRate 20.8%","Aurelion Sol/Thresh
LMI 32.4",Tier3
Soraka/Tahm Kench,38,128,"faction_Bilgewater_Name,faction_MtTargon_Name",73,135,0.540740740740741,29,0.0152872957301002,0.296875,0.00544167886774036,0.464872944693573,0.549019607843137,0.803921568627451,0.313725490196078,0.509803921568627,0.529411764705882,0.529411764705882,0.607843137254902,"Soraka/Tahm Kench
LMI 60.8
WinRate 54.1%
PlayRate 1.5%
BanRate 29.7%","Soraka/Tahm Kench
LMI 60.8",Tier2
Jarvan IV/Shen,40,112,"faction_Demacia_Name,faction_Ionia_Name",52,129,0.403100775193798,32,0.0168687401159726,0.357142857142857,0.00570196843988938,0.466476462196862,0.568627450980392,0.196078431372549,0.333333333333333,0.686274509803922,0.225490196078431,0.411764705882353,0.529411764705882,"Jarvan IV/Shen
LMI 52.9
WinRate 40.3%
PlayRate 1.7%
BanRate 35.7%","Jarvan IV/Shen
LMI 52.9",Tier3
