game_version
live_2_18_4
live_2_19_37
live_2_19_47
live_2_19_53
live_2_20_9
live_2_4_18
live_2_4_13
live_2_3_28
live_2_2_14
live_2_1_18
live_2_0_9
live_1_8_25
live_1_5_7
live_2_3_27
live_1_2_13
live_1_1_15
live_1_0_30
live_1_8_36
live_1_8_23
live_1_7_10
live_1_15_79
live_1_15_14
live_2_5_3
live_0_9_4_9
live_1_4_14
live_1_3_8
live_1_0_20
live_1_12_12
live_2_6_11
live_2_7_5
live_1_11_14
live_1_6_20
live_2_8_14
live_2_8_20
live_2_9_12
live_2_9_7
live_2_9_8
live_2_10_15
live_2_10_19
live_2_11_19
live_2_12_6
live_2_13_15
live_2_13_26
live_2_13_29
live_2_14_9
live_2_15_11
live_2_15_20
live_2_16_17
live_2_17_1
live_2_17_8
